major_category	major_preprocessed	major_original	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
	earli childhood teacher	Early Childhood Teacher	0.1875	0.375	0.625	0.84375	0.3125	0.4375
	dms	dms	0.5625	0.625	0.25	0.8125	0.875	1.0
	veterinarian	veterinarian	0.46875	0.875	0.53125	0.9375	0.46875	0.40625
	kinesiolog	kinesiology 	0.0	0.3125	0.3125	0.5625	0.53125	0.5
	militari	Military	0.5	0.71875	0.40625	0.53125	0.3125	0.34375
	kinesiolog	kinesiology 	0.0625	0.28125	0.34375	0.75	0.25	0.28125
	anim	Animation	0.25	0.59375	0.5625	0.46875	0.625	0.53125
	electron	Electronics	0.53125	0.625	0.75	0.6875	0.46875	0.6875
	product design	Product design	0.46875	0.71875	0.46875	0.53125	0.3125	0.34375
	industri design	industrial design	0.46875	0.71875	0.5	0.5	0.40625	0.4375
	environ	Environment	0.5625	0.84375	0.59375	0.59375	0.34375	0.34375
	teach	Teaching	0.0	0.46875	0.4375	0.71875	0.21875	0.125
	sepedi life orient	sepedi&life orientation	0.5	0.6875	0.0625	1.0	0.4375	0.5625
	pharmaci	Pharmacy	0.0625	0.78125	0.40625	0.5	0.28125	0.15625
	aerospac avinoci	Aerospace Avinocis	0.75	0.75	0.75	0.75	0.75	0.75
	occup therapi	Occupational Therapy	0.0	0.875	0.28125	0.96875	0.40625	0.4375
	occup therapi	occupational therapy	0.0	0.46875	0.0625	0.53125	0.40625	0.28125
	jour	JOUR	0.15625	0.0625	0.4375	0.4375	0.5625	0.3125
	organiz mangement	Organizational Mangement	0.53125	0.46875	0.40625	0.5	0.65625	0.875
	product develop	product development 	0.0	0.59375	0.375	0.78125	0.8125	0.40625
	physiotherapist	Physiotherapist	0.0	0.71875	0.1875	0.71875	0.65625	0.46875
	inform technolog	Information technology 	0.8125	0.75	0.75	0.9375	0.5625	1.0
	inform technolog	IT	0.28125	0.09375	0.59375	0.3125	0.3125	0.5
	ir	IR	0.46875	0.625	0.5625	0.65625	0.375	0.375
	inform technolog	information technology	0.53125	0.5625	0.53125	0.6875	0.59375	0.5
	srt	Srt	0.34375	0.6875	0.6875	0.53125	0.09375	0.03125
	templar train	Templar training	0.5625	0.34375	0.25	0.21875	0.40625	0.65625
	program	Programming	0.5	0.0625	0.09375	0.03125	0.21875	0.5
	inform technolog	IT	0.125	0.4375	0.09375	0.25	0.25	0.28125
	knowledg integr	Knowledge Integration	0.09375	0.75	0.8125	0.40625	0.1875	0.0
	typographi	Typography	0.75	0.65625	0.34375	0.1875	0.125	0.3125
	drama	Drama	0.03125	0.3125	0.75	0.40625	0.03125	0.03125
	theatr	Theatre	0.0	0.3125	0.4375	0.46875	0.125	0.0
	thretr	Thretre	0.125	0.1875	0.9375	0.625	0.5	0.125
	pharmaci	Pharmacy 	0.125	0.46875	0.25	0.25	0.125	0.28125
	electron	electronic	0.71875	0.125	0.4375	0.4375	0.78125	0.875
	teach	teaching	0.25	0.8125	0.9375	0.84375	0.25	0.25
	geodesi	geodesy	0.3125	0.8125	0.8125	0.3125	0.21875	0.40625
	comput	Computer	0.09375	0.78125	0.625	0.09375	0.34375	0.0625
	inform technolog	it	0.375	0.65625	0.53125	0.71875	0.21875	0.3125
	american	American Studies	0.1875	0.6875	0.75	0.6875	0.25	0.28125
	undecid	Undecided	0.125	0.28125	0.0	0.5	0.34375	0.21875
	environ	environment	0.0625	0.375	0.5625	1.0	0.875	0.5
	multimedia	Multimedia	0.21875	0.75	0.84375	0.75	0.34375	0.53125
	occup therapi	Occupational Therapy	0.15625	0.59375	0.53125	1.0	0.40625	0.03125
	philolog	philology	0.125	0.1875	0.625	0.5	0.28125	0.09375
	program	Programming	0.8125	0.625	0.6875	0.3125	0.5	0.5625
	dietet	Dietetic	0.3125	0.1875	0.1875	0.59375	0.71875	0.625
	design	Design	0.4375	0.8125	0.6875	0.3125	0.65625	0.65625
	nutrit	Nutrition	0.0	0.8125	0.5	0.59375	0.0625	0.0625
	liber	liberal studies	0.0625	0.28125	0.6875	0.625	0.375	0.1875
	marin	Marine	0.125	0.125	0.03125	0.09375	0.0	0.75
	electr	Electrical 	0.46875	0.5	0.5	0.78125	0.75	0.75
	aviat	aviation	0.5625	0.625	0.1875	0.03125	0.5	0.25
	ece	ece	0.0	0.0	0.34375	0.5625	0.28125	0.0
	tourism	tourism	0.0	0.78125	0.25	0.75	0.34375	0.0625
	undecid	undecided	0.0625	0.375	0.71875	0.3125	0.5625	0.40625
	comput	Computers	0.375	0.59375	0.5	0.78125	0.53125	0.5625
	energi	Energy	0.5625	0.875	0.71875	0.0625	0.5625	0.375
	media studi	media study	0.3125	0.59375	0.71875	0.65625	0.5625	0.40625
	kinesiolog	Kinesiology	0.34375	0.4375	0.40625	0.59375	0.125	0.4375
	foundat asasipintar	FOUNDATION ASASIPINTAR	0.78125	0.9375	0.5625	0.46875	0.625	0.65625
	marriag famili therapist	Marriage and Family therapist	0.3125	0.125	0.5	0.9375	0.84375	0.84375
	earli childhood develop	Early Childhood Development	0.625	0.78125	0.5625	0.71875	0.4375	0.625
	robot	robotic	0.46875	0.21875	0.15625	0.25	0.15625	0.34375
	european	european studies	0.15625	0.625	0.21875	0.21875	0.625	0.34375
	doctor	Doctor	0.46875	0.59375	0.625	0.71875	0.5625	0.5
	btech	b.tech	0.5625	0.4375	0.4375	0.96875	0.78125	0.8125
	medic assist	medical assistant 	0.0625	0.0625	0.0625	0.125	0.1875	0.28125
	polit	Politics	0.46875	0.75	0.3125	0.09375	0.28125	0.375
	anatomi	Anatomy	0.125	0.78125	0.34375	0.34375	0.09375	0.65625
	illustr	illustration	0.125	0.125	0.5625	0.0625	0.0	0.3125
	safeti	safety	0.3125	0.25	0.09375	0.59375	0.6875	0.875
	program	Programming	0.34375	0.5625	0.5625	0.28125	0.0625	0.28125
	vocal perform	Vocal Performance	0.125	0.40625	0.90625	0.65625	0.5625	0.28125
	medic bill	medical billing	0.46875	0.46875	0.34375	0.6875	0.625	0.75
	mrc	mrc	0.84375	0.75	0.65625	0.90625	0.65625	0.59375
	medic assist	Medical Assisting	0.125	0.6875	0.1875	1.0	0.3125	0.5
	broadcast technolog	Broadcast technology	0.4375	0.75	0.75	0.875	0.1875	0.0625
	film school	film school	0.0	0.25	0.875	0.25	0.09375	0.0
	violin perform	violin performance	0.5625	0.96875	0.78125	0.65625	0.03125	0.34375
	real estat commerc	real estate and commerce 	0.28125	0.03125	0.34375	0.5625	0.625	0.59375
	vet	Vet	0.34375	0.53125	0.34375	0.1875	0.46875	0.15625
	pharmaci	Pharmacy	0.25	0.78125	0.15625	0.4375	0.1875	0.3125
	american	American Studies	0.0625	0.71875	0.71875	0.21875	0.28125	0.3125
	dental hygien	dental hygiene	0.21875	0.28125	0.0	0.0	0.0	0.0
	pharmaci	pharmacy	0.375	0.71875	0.3125	0.53125	0.21875	0.21875
	fashion merchandis	fashion merchandising	0.0625	0.125	0.3125	0.53125	0.1875	0.125
	tourism	TOURISM	0.4375	0.625	0.71875	0.84375	0.5	0.5
	doctor	Doctor	0.4375	0.71875	0.78125	0.65625	0.53125	0.40625
	geophys	Geophysics	0.125	0.28125	0.09375	0.25	0.15625	0.6875
	electron	Electronics	0.5	0.25	0.75	0.75	0.6875	0.875
	anthro	Anthro	0.34375	0.78125	0.40625	0.59375	0.375	0.53125
	enviro	Enviroment	0.3125	0.59375	0.125	0.28125	0.15625	0.34375
	physiotherapi	Physiotherapy	0.1875	0.78125	0.65625	0.5625	0.0625	0.0625
	social develop	social development	0.6875	0.875	0.71875	0.6875	0.71875	0.6875
	occup therapi	Occupational Therapy	0.21875	0.75	0.53125	0.8125	0.65625	0.1875
	medic	medical	0.15625	0.9375	0.71875	0.65625	0.40625	0.3125
	medic	Medical	0.21875	0.59375	0.28125	0.71875	0.25	0.21875
	translat	Translation	0.0625	0.5625	0.59375	0.75	0.34375	0.0
	engneer	engneering	0.5625	0.53125	0.8125	0.625	0.5625	0.8125
	tourism	TOURISM	0.1875	0.40625	0.46875	0.5	0.5	0.25
	compur	Compuring	0.28125	0.4375	0.71875	0.40625	0.5	0.3125
	design	Design	0.46875	0.5625	0.65625	0.8125	0.5625	0.28125
	network	Networking	0.28125	0.625	0.5	0.09375	0.125	0.28125
	medic transcript	Medical Transcription	0.0	0.1875	0.375	0.0625	0.0	0.0625
	pharmaci	Pharmacy	0.125	0.9375	0.25	0.78125	0.8125	0.53125
	film	film	0.21875	0.15625	0.9375	0.6875	0.34375	0.0625
	inform technolog	it	0.375	0.46875	0.75	0.78125	0.28125	0.125
	bis	bisness	0.71875	0.875	0.6875	0.78125	0.625	0.65625
	film tv	Film and TV	0.21875	0.5	0.5625	0.375	0.03125	0.15625
	athlet train	Athletic Training	0.15625	0.28125	0.28125	0.59375	0.21875	0.46875
	dental hygien	dental hygiene	0.125	0.53125	0.3125	0.625	0.375	0.34375
	nutrit	Nutrition 	0.125	0.6875	0.5625	0.75	0.34375	0.28125
	medic	Medic	0.21875	0.84375	0.28125	0.53125	0.125	0.25
	design	Design	0.40625	0.625	0.75	0.625	0.25	0.28125
	nutrit	Nutrition	0.125	0.53125	0.4375	0.46875	0.375	0.125
	medic assist	Medical Assisting	0.09375	0.84375	0.25	0.90625	0.21875	0.21875
	design merchandis	Design and Merchandising	0.5	0.53125	0.4375	0.6875	0.625	0.46875
	creativ write	Creative Writing	0.0	0.28125	0.5	0.21875	0.0	0.0
	comput	computing	0.375	0.375	0.25	0.25	0.3125	0.5625
	medic	medical	0.125	0.90625	0.25	0.75	0.0	0.1875
	logist	logistics	0.3125	0.0625	0.125	0.34375	0.5	0.5625
	pharmaci	Pharmacy	0.46875	0.78125	0.34375	0.71875	0.84375	0.75
	inform technolog	Information Technology	0.1875	0.28125	0.1875	0.75	0.53125	0.75
	pharmaci	Pharmacy	0.15625	0.6875	0.4375	0.75	0.375	0.59375
	kinesiolog	Kinesiology	0.53125	0.21875	0.40625	0.4375	0.1875	0.0
	veternari	veternary	0.1875	0.5	0.0	0.21875	0.375	0.34375
	aviaton	Aviaton	0.09375	0.28125	0.0	0.0	0.0625	0.125
	beautit	BEAUTITION 	0.25	0.40625	0.375	0.4375	0.59375	0.4375
	teacher	teacher 	0.5	0.40625	0.59375	0.75	0.71875	0.5625
	town plan	TOWN PLANNING	0.5	0.28125	0.625	0.65625	0.78125	0.65625
	global affair	Global Affairs	0.1875	0.59375	0.65625	0.5625	0.15625	0.09375
	nil	nil	0.1875	0.28125	0.5	0.6875	0.65625	0.3125
	inform technolog	IT	0.34375	0.03125	0.25	0.5625	0.46875	0.53125
	undecid	Undecided 	0.21875	0.5	0.5625	0.53125	0.40625	0.21875
	theatr	Theatre studies	0.15625	0.4375	0.84375	0.875	0.4375	0.125
	electron media	Electronic Media 	0.34375	0.59375	0.625	0.5625	0.3125	0.25
	consum apparel retail	Consumer Apparel and Retail Studies	0.0	0.0625	0.40625	0.65625	0.5	0.1875
	ethnic	Ethnic Studies	0.09375	0.625	0.75	0.71875	0.5	0.25
	photojourn	Photojournalism 	0.5625	0.9375	0.53125	0.5	0.5	0.28125
	design	Design	0.0	0.0	0.46875	0.125	0.5	0.0
	com	coms	0.0	0.0	0.25	0.625	0.0625	0.34375
	design	design	0.25	0.25	0.34375	0.625	0.5625	0.125
	drama	Drama	0.0	0.25	0.40625	0.21875	0.0	0.0
	med consid chang	Pre-med, considering change	0.1875	0.59375	0.625	0.1875	0.46875	0.09375
	hotel oper	Hotel operations	0.375	0.375	0.4375	0.71875	0.625	0.34375
	athlet train	athletic training	0.1875	0.59375	0.09375	0.6875	0.09375	0.40625
	polit	Politics	0.4375	0.8125	0.75	0.625	0.5	0.34375
	homesci	homescience	0.53125	0.65625	0.71875	0.75	0.6875	0.53125
	comput	Computing	0.375	0.75	0.375	0.8125	0.46875	0.34375
	biotech	Biotech	0.0625	0.96875	0.8125	0.59375	0.1875	0.0625
	islam bank	islamic banking	0.40625	0.40625	0.5625	0.53125	0.5625	0.65625
	na	N.A.	0.09375	0.78125	0.625	0.25	0.28125	0.34375
	aviat	Aviation	0.5	0.1875	0.34375	0.75	0.78125	0.125
	aviat	Aviation	0.71875	0.625	0.71875	0.90625	0.59375	0.65625
	bank	Banking	0.15625	0.125	0.125	0.3125	0.25	0.40625
	electron	Electronics	0.53125	0.21875	0.21875	0.25	0.09375	0.21875
	multimedia comput	multimedia computing	0.28125	0.4375	0.75	0.53125	0.5	0.1875
	inform technolog	Information Tech	0.9375	0.59375	0.6875	0.25	0.4375	0.5625
	classic	Classics	0.15625	0.375	0.75	0.40625	0.15625	0.1875
	comput	Computer	0.125	0.15625	0.4375	0.5	0.46875	0.125
	film	Film	0.0	0.0	0.34375	0.03125	0.0	0.0
	medic assist	Medical Assisting	0.40625	0.59375	0.5625	0.65625	0.125	0.40625
	teach	teaching	0.21875	0.1875	0.1875	0.8125	0.46875	0.4375
	medic assist	Medical Assisting	0.25	0.75	0.625	0.6875	0.25	0.375
	inform tecnolog	Information Tecnology	0.65625	0.96875	1.0	0.8125	0.40625	0.28125
	electron	electronics	0.0625	0.09375	0.59375	0.25	0.1875	0.1875
	languag	language 	0.53125	0.8125	0.4375	0.59375	0.5	0.5
	med	Pre-med	0.21875	0.8125	0.65625	0.625	0.34375	0.25
	film	Film	0.03125	0.5	0.9375	0.71875	0.5625	0.09375
	medic assist	Medical Assistant	0.3125	0.625	0.28125	0.625	0.4375	0.5
	environment	environmental studies	0.65625	0.78125	0.5625	0.4375	0.625	0.46875
	social	social studies	0.1875	0.0625	0.125	0.125	0.375	0.3125
	ece	ECE	0.15625	0.5625	0.46875	0.90625	0.90625	0.78125
	comput support	computer support	0.53125	0.46875	0.53125	0.5625	0.59375	0.6875
	na	na	0.25	0.625	0.4375	0.8125	0.25	0.75
	tech	teching	0.625	0.71875	0.46875	0.625	0.53125	0.40625
	midwiferi	Midwifery	0.1875	0.78125	0.59375	0.8125	0.46875	0.375
	emerg servic	emergency services 	0.1875	0.5	0.375	0.5625	0.28125	0.15625
	respiratori therapi	Respiratory therapy	0.25	0.59375	0.3125	0.59375	0.28125	0.28125
	crime scene invetig	Crime Scene Invetigating	0.5	0.8125	0.625	0.59375	0.5	0.5
	medic assist	Medical Assisting	0.46875	1.0	1.0	0.96875	0.8125	0.25
	film	Film	0.0	0.5625	0.65625	0.4375	0.375	0.34375
	histor polit studi	Historical and Political Studi	0.0625	0.125	0.4375	0.8125	0.4375	0.0
	anim care	Animal care	0.1875	0.875	0.65625	0.71875	0.375	0.1875
	electron	electronics	0.3125	0.40625	0.75	0.96875	0.40625	0.5625
	nutrit	nutrition	0.125	0.375	0.125	0.78125	0.4375	0.34375
	nil	NIL	0.125	0.6875	0.65625	0.59375	0.3125	0.21875
	aviat	Aviation	0.40625	0.15625	0.1875	0.59375	0.3125	0.25
	profession	professional 	0.25	0.03125	0.5	0.84375	0.59375	0.21875
	teach	teaching	0.25	0.375	0.375	0.71875	0.375	0.375
	dentistri	dentistry	0.75	0.75	0.375	0.5	0.53125	0.75
	undecid	undecided	0.0625	0.21875	0.0625	0.0625	0.3125	0.125
	buis	Buisness	0.53125	0.375	0.375	0.6875	0.21875	0.15625
	ðäàíñ§	ÐÄÀíÑ§	0.59375	0.90625	0.6875	0.6875	0.59375	0.59375
	nutritionist	nutritionist	0.15625	0.8125	0.46875	0.4375	0.25	0.34375
	medic	medic	0.1875	0.65625	0.15625	0.21875	0.3125	0.1875
	cook	cook	0.59375	0.8125	0.59375	0.5	0.5625	0.34375
	anim	Animation	0.1875	0.8125	0.78125	0.40625	0.40625	0.0625
	youth develop	youth development	0.09375	0.875	0.40625	0.5625	0.1875	0.0
	medic assist	Medical Assisting	0.53125	0.71875	0.375	0.75	0.71875	0.75
	pharmaci technician	Pharmacy technician	0.5625	0.6875	0.21875	0.84375	0.1875	0.6875
	paraleg	Paralegal Studies	0.0625	0.3125	0.3125	0.5625	0.40625	0.6875
	p	p	0.0625	0.375	0.40625	0.59375	0.4375	0.21875
	comput	Computer	0.96875	1.0	0.8125	0.875	0.65625	0.96875
	microfin	Microfinance	0.34375	0.4375	0.5	0.5	0.65625	0.875
	web research	web research	0.84375	0.8125	0.75	1.0	0.90625	1.0
	eng	englis	0.5625	0.6875	0.65625	0.84375	0.8125	0.625
	hdfs	HDFS	0.09375	0.34375	0.5	0.53125	0.15625	0.0
	theater	Theater	0.03125	0.40625	0.6875	0.25	0.34375	0.0625
	informat multimedia technolog	Informatics and Multimedia Technology	0.25	0.5	0.5625	0.6875	0.59375	0.625
	buis	Buisness	0.4375	0.5	0.71875	0.625	0.5625	0.53125
	cyber secur	Cyber Security	0.28125	0.53125	0.21875	0.5625	0.1875	0.5625
	ota	OTA	0.375	0.71875	0.78125	0.78125	0.34375	0.375
	ota	OTA	0.34375	0.8125	0.8125	0.875	0.34375	0.375
	cyber forens	Cyber Forensics	0.59375	0.8125	1.0	0.75	0.0625	0.25
	ota	OTA	0.1875	0.71875	0.84375	0.875	0.15625	0.15625
	organiz develop	Organizational Development	0.15625	0.4375	0.125	0.3125	0.0	0.03125
	good	Good	0.09375	0.09375	0.15625	0.59375	0.5	0.375
	pharmaci practic pscholog	pharmacy practice/pschology	0.09375	0.5	0.375	0.84375	0.09375	0.3125
	tourism	Tourism	0.5625	0.3125	0.75	0.9375	0.8125	0.6875
	tourism	Tourism	0.5	0.8125	0.8125	0.875	0.75	0.625
	draft technolog	drafting technology	0.4375	0.375	0.5	0.71875	0.4375	0.28125
	btte garment fashion design	BTTE-GARMENTS FASHION AND DESIGN	0.40625	0.34375	0.3125	0.71875	0.4375	0.46875
	pharmaci	Pharmacy	0.3125	0.59375	0.28125	0.46875	0.40625	0.25
	anim	Animation	0.4375	0.6875	0.625	0.3125	0.0625	0.25
	medic	medical	0.25	0.34375	0.1875	0.25	0.25	0.375
	horticultur	horticulture	0.1875	0.84375	0.3125	0.6875	0.21875	0.3125
	kinesiolog	kinesiology	0.21875	0.3125	0.09375	0.71875	0.21875	0.28125
	medic technolog	Medical Technology	0.375	0.875	0.625	0.4375	0.3125	0.5
	psycholgoy	Psycholgoy	0.125	0.5	0.6875	0.6875	0.46875	0.46875
	fashion design	Fashion Design	0.0625	0.1875	0.5625	0.21875	0.71875	0.0625
	vocat	Vocational	0.53125	0.53125	1.0	0.96875	0.46875	0.5
	paraleg	paralegal	0.1875	0.53125	0.1875	0.5	0.40625	0.59375
	polit	Politics	0.0	0.5	0.4375	0.40625	0.21875	0.21875
	medic	medical	0.375	0.25	0.0625	0.3125	0.0	0.4375
	pharmaci	Pharmacy	0.03125	0.21875	0.03125	0.03125	0.0625	0.25
	kinesiolog	kinesiology	0.21875	0.90625	0.4375	0.9375	0.375	0.375
	cyber secur	Cyber Security	0.5	0.40625	0.78125	0.78125	0.78125	0.59375
	inform technolog	IT	0.53125	0.59375	0.5625	0.75	0.46875	0.78125
	multimedia	Multimedia	0.125	0.09375	0.34375	0.4375	0.5625	0.59375
	culinari	culinary	0.25	0.59375	0.5	0.78125	0.5625	0.40625
	homeland secur	Homeland Security	0.5	0.4375	0.71875	0.8125	0.53125	0.34375
	spatial plane	spatial planing	0.78125	0.75	0.875	0.84375	0.8125	0.6875
	fashion	Fashion	0.0625	0.0625	0.40625	0.4375	0.5	0.0
	horticultur	Horticulture 	0.0	0.5	0.1875	0.34375	0.09375	0.34375
	christian ministri	Christian Ministries	0.03125	0.25	0.5625	0.71875	0.625	0.375
	design	design	0.4375	0.75	0.78125	0.6875	0.59375	0.3125
	biomed	biomed	0.15625	0.75	0.625	0.4375	0.6875	0.03125
	anim	Animation	0.0	0.28125	0.90625	0.75	0.28125	0.09375
	languag	Languages	0.0	0.4375	0.09375	0.34375	0.34375	0.46875
	buss	bussness	0.40625	0.125	0.75	0.625	0.90625	0.5625
	polit	Politics	0.0	0.25	0.09375	0.46875	0.3125	0.0625
	nutrit	Nutrition	0.1875	0.625	0.25	0.9375	0.5	0.375
	athlet train	Athletic Training 	0.5625	0.375	0.125	0.46875	0.375	0.34375
	dental hygien	Dental hygiene	0.15625	0.46875	0.40625	0.46875	0.21875	0.25
	child develop	Child Development	0.09375	0.75	0.65625	0.71875	0.15625	0.03125
	anim care	animal care	0.125	0.53125	0.40625	0.4375	0.25	0.03125
	child develop famili	Child Development Family Studies	0.34375	0.4375	0.46875	0.75	0.71875	0.15625
	derecho	DERECHO	0.28125	0.53125	0.6875	0.625	0.75	0.625
	fashion merchandis	Fashion Merchandising 	0.1875	0.28125	0.375	0.5625	0.625	0.65625
	undecid graduat	Undecided, have not yet graduated	0.1875	0.625	0.59375	0.9375	0.59375	0.5
	sustain	Sustainability	0.03125	0.53125	0.53125	0.25	0.0	0.15625
	assciat	Assciate Degree	0.0625	0.4375	0.0	0.4375	0.09375	0.375
	labor relat	Labor relations	0.03125	0.4375	0.5625	0.6875	0.53125	0.15625
	film	Film	0.25	0.25	0.71875	0.5	0.1875	0.15625
	polit	Politics	0.0	1.0	0.875	0.625	0.5	0.0
	culinari skill	culinary skills	0.1875	0.71875	0.03125	0.84375	0.15625	0.4375
	inform technolog	IT	0.59375	0.5625	0.5625	0.28125	0.34375	0.25
	comput	computer	0.75	1.0	0.75	1.0	0.75	0.75
	attend	Did not attend	0.6875	0.71875	0.46875	0.71875	0.34375	0.1875
	dietet	dietetics	0.03125	0.5625	0.1875	0.28125	0.0625	0.0
	doctor	Doctor	0.375	0.4375	0.625	0.6875	0.21875	0.40625
	robot	robotics	0.375	0.5625	0.3125	0.46875	0.625	0.46875
	fire technolog	Fire Technology	0.25	0.09375	0.15625	0.21875	0.1875	0.09375
	comput	Computers	0.3125	0.6875	0.25	0.1875	0.21875	0.40625
	doctor	doctor	0.6875	0.90625	0.5	0.6875	0.53125	0.6875
	actuari	Actuarial	0.5625	0.21875	0.375	0.3125	0.4375	0.5625
	anatomi	Anatomy	0.25	1.0	0.40625	0.625	0.25	0.59375
	investig forensicss	Investigative Forensicss	0.25	0.40625	0.34375	0.78125	0.625	0.90625
	bioinformat	Bioinformatics	0.53125	0.4375	0.5625	0.65625	0.5625	0.75
	clinic research	Clinical research	0.59375	0.75	0.875	0.625	1.0	0.75
	eh asistido	No eh asistido	0.65625	0.46875	0.53125	0.625	0.5	0.40625
	inform technolog	IT	0.6875	0.71875	0.75	0.53125	0.6875	0.84375
	inform technolog	IT	0.53125	0.3125	0.6875	0.71875	0.59375	0.5625
	design	Design	0.25	0.34375	0.4375	0.875	0.5	0.125
	cultur	culture	0.0625	0.34375	0.71875	0.34375	0.1875	0.125
	hrwd	HRWD	0.28125	0.125	0.125	0.71875	0.5	0.71875
	radio televison film	Radio, Televison and Film	0.375	0.59375	1.0	0.5	0.25	0.03125
	fashion design	fashion design	0.3125	0.40625	0.90625	0.6875	0.75	0.34375
	buis	buisness	0.40625	0.40625	0.40625	0.28125	0.15625	0.0625
	cosmetolog	cosmetology	0.125	0.28125	0.09375	0.5	0.53125	0.21875
	famili	Family Studies	0.15625	0.65625	0.71875	0.65625	0.375	0.15625
	broadcast	Broadcasting	0.0	0.0625	0.9375	0.71875	0.25	0.0
	mangement	mangement	0.3125	0.90625	0.53125	1.0	0.71875	1.0
	film tv	Film and TV	0.4375	0.8125	0.8125	0.65625	0.4375	0.34375
	kinesiolog	kinesiology	0.125	0.59375	0.34375	0.65625	0.40625	0.21875
	na	Na	0.375	0.28125	0.46875	0.4375	0.25	0.15625
	palaeontolog	palaeontology	0.09375	0.84375	0.21875	0.0625	0.0625	0.46875
	design	Design	0.46875	0.65625	0.21875	0.1875	0.1875	0.625
	sign languag interpret	Sign Language Interpreter	0.03125	0.1875	0.03125	0.75	0.0625	0.0
	crj	CRJ	0.15625	0.84375	0.625	0.96875	0.6875	0.4375
	teach	teaching	0.65625	0.0625	0.125	0.25	0.09375	0.875
	instrument electron	instrumentation &  Electronics 	0.625	0.53125	0.46875	0.78125	0.5625	0.78125
	broadcast cinema	Broadcast Cinema 	0.125	0.09375	0.625	0.15625	0.15625	0.15625
	dietet	dietetics 	0.46875	0.375	0.34375	0.625	0.25	0.25
	broadcast cinema	Broadcast Cinema	0.34375	0.4375	0.90625	0.6875	0.6875	0.09375
	dietet	Dietetics	0.1875	0.46875	0.34375	0.40625	0.375	0.1875
	dietet	Dietetics	0.0	0.3125	0.0	0.5625	0.125	0.125
	p	P	0.5	0.625	0.46875	0.625	0.34375	0.3125
	hydrologu	hydrologu 	0.21875	0.78125	0.15625	0.0625	0.15625	0.6875
	kinesiolog	Kinesiology	0.4375	0.5	0.625	0.84375	0.375	0.6875
	famili	Family Studies	0.46875	0.46875	0.375	0.65625	0.3125	0.875
	safeti	SAFETY	0.375	0.75	0.0	0.75	0.3125	0.1875
	broadcast cinema	Broadcast Cinema	0.0625	0.0625	0.5	0.0625	0.09375	0.03125
	buis	Buisness	0.0625	0.125	0.0	0.34375	0.28125	0.375
	buis	Buisness	0.0	0.125	0.0	0.28125	0.25	0.40625
	languag skill	Language skills 	0.28125	0.46875	0.28125	0.8125	0.25	0.34375
	broadcast cinema	Broadcast Cinema 	0.0625	0.125	0.65625	0.09375	0.0	0.0
	buis	Buisness	0.0625	0.0	0.0	0.21875	0.5	0.5625
	nure	Nuring	0.1875	0.53125	0.0	0.75	0.4375	0.75
	adminstr secretari	Adminstrative Secretarial	0.3125	0.375	0.46875	0.8125	0.8125	0.5
	digit forens	Digital Forensics	0.28125	0.5625	0.71875	0.84375	0.34375	0.3125
	dietet	Dietetics	0.25	0.6875	0.96875	0.6875	0.65625	0.125
	kinesiolog	Kinesiology	0.0	0.21875	0.65625	0.6875	0.3125	0.0625
	raidolog	Raidology	0.0	0.25	0.0	0.0	0.0625	0.0
	nutrit	nutrition	0.125	0.28125	0.34375	0.9375	0.6875	0.375
	program	Programming	0.40625	0.53125	0.59375	0.125	0.375	0.4375
	justic polici	Justice & Policy Studies	0.09375	0.40625	0.0	0.375	0.28125	0.5
	psi	PSY	0.125	0.3125	0.46875	0.75	0.34375	0.46875
	interior deesign	interior deesign	0.03125	0.28125	0.09375	0.84375	0.4375	0.46875
	go colleg	going to college	0.46875	0.53125	0.71875	0.4375	0.53125	0.53125
	kinesiolog	Kinesiology	0.125	0.6875	0.65625	0.9375	0.625	0.34375
	dietet	Dietetics 	0.15625	0.53125	0.0	0.28125	0.0625	0.34375
	dietet	dietetics	0.0	0.84375	0.0	0.28125	0.15625	0.0
	medic	Medical	0.25	0.625	0.4375	0.59375	0.375	0.34375
	physiotherapi	physiotherapy	0.0625	0.5	0.25	0.3125	0.375	0.25
	inform technolog	Information technology	0.875	0.40625	0.3125	0.5625	0.71875	0.59375
	hospit	hospitality	0.28125	0.84375	0.3125	1.0	0.71875	0.625
	medhic	Medhical	0.3125	0.78125	0.40625	0.6875	0.375	0.5
	asian	Asian studies	0.5625	0.625	0.875	1.0	0.8125	0.78125
	radio telivis	Radio and Telivision	0.25	0.40625	0.8125	0.3125	0.40625	0.3125
	nutrit	nutrition	0.0625	0.5625	0.59375	0.78125	0.0	0.09375
	dietet	Dietetics	0.0	0.28125	0.46875	0.65625	0.21875	0.09375
	technolog	Technology	0.4375	0.71875	0.65625	0.40625	0.34375	0.09375
	tourism	Tourism	0.21875	0.34375	0.40625	0.625	0.59375	0.4375
	informat	Informatics	0.71875	0.875	0.3125	0.5625	0.6875	0.78125
	heavi diesel technolog	heavy diesel tech 	0.78125	0.625	0.4375	0.46875	0.5	0.5625
	sonographi	sonography	0.40625	0.78125	0.34375	0.9375	0.8125	0.9375
	pyschol sicienc	pyschol sicience	0.6875	0.375	0.21875	0.90625	0.875	0.90625
	nutrit	Nutrition	0.3125	0.65625	0.46875	0.59375	0.21875	0.46875
	media	Media	0.1875	0.65625	0.8125	0.75	0.53125	0.0625
