major_category	major_preprocessed	major_original	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
	hospit	Hospitality	0.03125	0.40625	0.5625	0.875	0.625	0.5
	global	Global Studies	0.25	0.625	0.59375	0.375	0.34375	0.125
	medic	Medical	0.125	0.25	0.0625	0.0625	0.375	0.1875
	pharmaci	Pharmacy	0.625	0.625	0.34375	0.28125	0.21875	0.34375
	radiolog	Radiology	0.3125	0.65625	0.25	0.3125	0.09375	0.28125
	undecid	undecided	0.34375	0.6875	0.75	0.59375	0.28125	0.15625
	polit	Politics	0.0	0.0	0.375	0.3125	0.03125	0.15625
	medic	medic	0.3125	0.59375	0.34375	0.53125	0.3125	0.375
	vet	Pre-Vet	0.0625	0.625	0.5	0.65625	0.4375	0.125
	anesthesiolog	Anesthesiology	0.0	0.21875	0.0625	0.21875	0.09375	0.15625
	sport perform	sports performance 	0.21875	0.34375	0.59375	0.40625	0.40625	0.1875
	illustr	Illustration	0.3125	0.59375	0.71875	0.15625	0.53125	0.28125
	undeclar	Undeclared	0.28125	0.71875	0.21875	0.25	0.28125	0.15625
	translat	Translation	0.09375	0.375	0.5625	0.8125	0.34375	0.25
	gender	Gender Studies	0.15625	0.3125	0.71875	0.59375	0.5	0.21875
	tourism	tourism	0.0	0.0625	0.5	0.375	1.0	0.8125
	diesel mechan	Diesel Mechanic	0.625	0.40625	0.34375	0.78125	0.375	0.40625
	aviat	aviation	0.53125	0.59375	0.625	0.53125	0.34375	0.25
	liber	liberal studies	0.0	0.75	0.28125	0.8125	0.34375	0.03125
	entrepreneurship	Entrepreneurship	0.46875	0.375	0.90625	0.84375	0.71875	0.1875
	non	non	0.25	0.34375	0.53125	0.78125	0.78125	0.625
	teach	teaching	0.25	0.375	0.34375	0.28125	0.375	0.40625
	fashion	Fashion	0.5625	0.65625	0.625	0.78125	0.625	0.4375
	polit	Politics	0.28125	0.625	0.65625	0.5	0.375	0.03125
	product develop	Product Development	0.1875	0.375	0.46875	0.1875	0.40625	0.5
	ministri leadership	Ministrial Leadership	0.125	0.34375	0.59375	0.84375	0.6875	0.6875
	design	Design	0.65625	0.625	0.75	0.75	0.53125	0.625
	content cours	content course	0.21875	0.46875	0.65625	0.65625	0.625	0.375
	land surveyor	land surveyor	0.0	0.09375	0.0	0.0	0.0	0.0
	hospit	hospitality	0.375	0.625	0.6875	0.59375	0.53125	0.28125
	design	Design	0.46875	0.84375	0.875	0.625	0.5	0.40625
	med	Pre-med	0.125	0.78125	0.1875	0.375	0.15625	0.0625
	design	Design	0.53125	0.8125	0.96875	0.78125	0.625	0.34375
	comput	Computers 	0.71875	0.9375	0.9375	0.625	0.34375	0.34375
	kinesiolog	Kinesiology	0.59375	0.78125	0.21875	0.59375	0.28125	0.4375
	norwegian	Norwegian	0.34375	0.65625	0.40625	0.3125	0.28125	0.28125
	undecid	Undecided	0.0625	0.15625	0.125	0.5625	0.25	0.28125
	litraturtur ethnic	litraturture ethnic studies	0.4375	0.8125	0.8125	0.90625	0.4375	0.28125
	kinesiolog	Kinesiology	0.0	0.8125	0.5	0.71875	0.0625	0.0625
	dentistri	Pre Dentistry	0.15625	0.5625	0.59375	0.625	0.53125	0.28125
	rehabilit servic	Rehabilitation services	0.59375	1.0	0.375	0.9375	0.5625	0.5
	kinesiolog	kinesiology	0.09375	0.65625	0.03125	0.625	0.03125	0.21875
	undecid	Undecided	0.0625	0.28125	0.4375	0.65625	0.375	0.3125
	na	na	0.15625	0.375	0.21875	0.78125	0.5	0.8125
	neurolog	Neurology	0.25	0.6875	0.34375	0.5625	0.40625	0.4375
	rehab servic	Rehab Services	0.15625	0.21875	0.25	1.0	0.84375	0.71875
	tourism	tourism	0.1875	0.1875	0.09375	0.21875	0.28125	0.3125
	design	Design	0.3125	0.375	0.53125	0.53125	0.1875	0.0
	fashion	Fashion 	0.125	0.09375	0.71875	0.34375	0.5	0.90625
	design	Design	0.125	0.75	0.71875	0.28125	0.21875	0.0625
	child famili	Child and Family Studies	0.1875	0.65625	0.375	0.59375	0.375	0.15625
	comput	Computers 	0.25	0.40625	0.5625	0.6875	0.65625	0.5625
	hospit	hospitality	0.6875	0.53125	0.65625	0.625	0.375	0.25
	interior design	interior design	0.3125	0.25	0.46875	0.625	0.5	0.34375
	comput	computer	0.5625	0.25	0.375	0.6875	0.625	0.375
	phyisc	Applied Phyiscs 	0.34375	0.5625	0.34375	0.40625	0.40625	0.125
	interior design	Interior Design	0.21875	0.21875	0.65625	0.6875	0.4375	0.09375
	public servic	Public Service	0.0	0.1875	0.3125	0.8125	0.5	0.34375
	undecid	Undecided	0.25	0.5625	0.5	0.46875	0.28125	0.28125
	tourism	Tourism	0.5625	0.5625	0.625	0.71875	0.65625	0.6875
