major_category	major_preprocessed	major_original	realistic	investigative	artistic	social	enterprising	conventional
agriculture & natural resources	agricultur	Agriculture	0.625	0.25	0.21875	0.375	0.40625	0.40625
agriculture & natural resources	agricultur scienc	agricultural sciences	0.15625	0.625	0.15625	0.65625	0.40625	0.53125
agriculture & natural resources	agricultur plant soil scienc	Agriculture - Plant and Soil Science	0.5	0.90625	0.90625	0.65625	0.46875	0.53125
agriculture & natural resources	agricultur	Agriculture	0.125	0.875	0.6875	0.5625	0.5	0.03125
agriculture & natural resources	anim scienc industri	Animal science and industry 	0.0	0.84375	0.65625	0.6875	0.125	0.15625
agriculture & natural resources	anim scienc	Animal Science	0.46875	0.84375	0.8125	0.625	0.4375	0.375
agriculture & natural resources	anim scienc	Animal Science	0.1875	0.6875	0.34375	0.625	0.65625	0.625
agriculture & natural resources	anim scienc	Animal Science	0.34375	1.0	0.6875	0.9375	0.46875	0.40625
agriculture & natural resources	nurs agricultur scienc	Nursing/ Agriculture Science	0.46875	0.59375	0.4375	0.65625	0.40625	0.5
agriculture & natural resources	educ agricultur econom	education and agricultural economics	0.375	0.1875	0.0625	0.4375	0.40625	0.78125
agriculture & natural resources	food scienc	food science	0.09375	0.0	0.15625	0.625	0.125	0.125
agriculture & natural resources	agricultur	agriculture	0.125	0.4375	0.15625	0.3125	0.125	0.0625
agriculture & natural resources	agronomi	Agronomy 	0.46875	0.625	0.375	0.8125	0.625	0.5
agriculture & natural resources	forestri	Forestry	0.5	0.8125	0.8125	0.53125	0.1875	0.375
agriculture & natural resources	agricultur educ technolog	Ag Education and Technology	0.0	0.25	0.46875	0.65625	0.21875	0.125
agriculture & natural resources	anim scienc vet med	Animal science, Pre-Vet Med	0.34375	0.5625	0.09375	0.5625	0.15625	0.375
agriculture & natural resources	natur resourc	Natural resources	0.5625	0.8125	0.78125	0.46875	0.125	0.0625
agriculture & natural resources	youth develop agricultur educ	Youth Development and Agricultural Education	0.40625	0.8125	0.875	0.8125	0.375	0.28125
agriculture & natural resources	agricultur scienc	Agriculture Science	0.21875	0.6875	0.25	0.71875	0.15625	0.25
agriculture & natural resources	nutrit food scienc	Nutrition & Food Science	0.40625	0.71875	0.15625	0.46875	0.03125	0.0625
agriculture & natural resources	food scienc	food science	0.40625	0.75	0.8125	0.375	0.15625	0.1875
agriculture & natural resources	agricultur econom	Agricultural Economics	0.53125	0.6875	0.3125	0.625	0.34375	0.6875
agriculture & natural resources	soil scienc	soil science	0.25	0.6875	0.15625	0.34375	0.03125	0.375
agriculture & natural resources	food scienc	Food science	0.4375	0.5625	0.375	0.65625	0.25	0.53125
agriculture & natural resources	natur resourc manag	Natural Resource Management	0.375	0.71875	0.375	0.3125	0.25	0.25
agriculture & natural resources	agricultur busi econom	ag business econ	0.125	0.5	0.625	1.0	0.625	0.75
agriculture & natural resources	nutrit food scienc psycholog	Nutrition, Food Science, Psychology	0.25	0.53125	0.8125	0.9375	0.65625	0.40625
agriculture & natural resources	anim scienc	Animal science	0.5	0.84375	0.71875	0.5625	0.21875	0.0
agriculture & natural resources	agricultur engin	Agricultural Engineering	0.46875	1.0	0.4375	0.375	0.15625	0.25
agriculture & natural resources	anim scienc	Animal Science	0.0625	1.0	0.375	0.875	0.25	0.0
agriculture & natural resources	anim scienc	Animal Science	0.21875	0.5	0.03125	0.375	0.28125	0.34375
agriculture & natural resources	agricultur	Agriculture	0.625	0.90625	0.5	0.625	0.53125	0.625
agriculture & natural resources	agronomist	agronomist	0.6875	0.75	0.5	0.75	0.59375	0.71875
agriculture & natural resources	anim scienc	Animal Science	0.4375	0.71875	0.75	0.84375	0.75	0.625
agriculture & natural resources	food scienc technolog	Food Science and Technology 	0.0625	0.71875	0.75	0.21875	0.3125	0.71875
agriculture & natural resources	agricultur biotechnolog	AGRICULTURE BIOTECHNOLOGY	0.375	0.65625	0.28125	0.59375	0.65625	0.59375
agriculture & natural resources	agronomia	Agronomia	0.53125	0.53125	0.15625	0.15625	0.5	0.65625
agriculture & natural resources	agronomi	agronomy	0.125	0.5625	0.78125	0.65625	0.375	0.1875
agriculture & natural resources	agronomi	Agronomy	0.4375	0.8125	0.4375	0.4375	0.25	0.40625
agriculture & natural resources	agricultur	agriculture	0.5625	0.90625	0.25	0.6875	0.4375	0.84375
agriculture & natural resources	agricultur	Agriculture	0.625	0.6875	0.28125	0.5	0.3125	0.5625
agriculture & natural resources	anim scienc	Animal Science	0.0625	0.71875	0.21875	0.5	0.125	0.375
agriculture & natural resources	anim scienc	Animal science	0.34375	0.75	0.40625	0.625	0.46875	0.34375
agriculture & natural resources	environ natur resourc	environment and natural resources	0.0625	0.53125	0.40625	0.6875	0.3125	0.375
agriculture & natural resources	agricultur engin	Agriculture Engineering	0.125	0.84375	0.59375	0.59375	0.34375	0.1875
agriculture & natural resources	anim scienc vet	Animal Science - Pre Vet	0.4375	0.9375	0.3125	0.6875	0.40625	0.59375
agriculture & natural resources	food scienc	food science	0.09375	0.53125	0.71875	0.40625	0.09375	0.25
agriculture & natural resources	agricultur	Agriculture	0.21875	0.5	0.40625	0.375	0.65625	0.46875
agriculture & natural resources	agricultur	Agriculture	0.5625	0.40625	0.71875	0.71875	0.40625	0.625
agriculture & natural resources	agricultur	Agriculture	0.46875	0.46875	0.78125	0.71875	0.3125	0.5625
agriculture & natural resources	anim scienc	Animal Science	0.375	0.375	0.25	0.46875	0.0	0.15625
agriculture & natural resources	agricultur engin	Agriculture Engineering	0.375	0.71875	0.4375	0.65625	0.375	0.4375
agriculture & natural resources	anim scienc	Animal Science	0.46875	1.0	0.78125	0.625	0.46875	0.59375
agriculture & natural resources	agricultur biolog geolog	Agriculture, Biology, Geology	0.84375	0.96875	0.875	0.96875	0.65625	0.5625
agriculture & natural resources	agricultur	agriculture	0.5625	0.8125	0.125	0.78125	0.5625	0.28125
agriculture & natural resources	agronomi	Agronomy	0.71875	1.0	0.4375	0.5625	0.375	0.65625
agriculture & natural resources	forestri	forestry	0.15625	0.84375	0.65625	0.46875	0.3125	0.1875
agriculture & natural resources	agricultur	Agriculture 	0.375	0.8125	0.6875	0.125	0.125	0.0
agriculture & natural resources	argonomi	argonomy	0.25	0.5	0.6875	0.59375	0.65625	0.28125
agriculture & natural resources	water resourc	Water Resources 	0.46875	0.3125	0.21875	0.46875	0.0625	0.71875
agriculture & natural resources	anim scienc	Animal Science	0.15625	0.75	0.53125	0.625	0.34375	0.5625
agriculture & natural resources	food scienc	food science	0.3125	0.625	0.5625	0.65625	0.34375	0.3125
agriculture & natural resources	food scienc	Food Science	0.1875	0.75	0.125	0.65625	0.4375	0.375
agriculture & natural resources	agricultur scienc	Agricultural Science	0.5	0.78125	0.53125	0.53125	0.1875	0.71875
agriculture & natural resources	anim scienc	Animal Science	0.625	0.96875	0.59375	0.78125	0.65625	0.59375
agriculture & natural resources	anim scienc	Animal Science	0.03125	0.59375	0.03125	0.0625	0.0	0.0
agriculture & natural resources	agricultur	Agriculture	0.21875	0.53125	0.5	0.84375	0.5	0.34375
agriculture & natural resources	anim scienc	animal science	0.0	0.59375	0.03125	0.09375	0.5	0.0
agriculture & natural resources	forestri scienc	Forestry Science	0.0625	0.71875	0.5625	0.84375	0.375	0.0625
agriculture & natural resources	life scienc agricultur scinc mathemat	life sciences, agricultural scinces, mathemat	0.0625	0.125	0.03125	0.375	0.125	0.3125
agriculture & natural resources	agricultur	agriculture	0.1875	0.53125	0.53125	0.09375	0.0	0.09375
agriculture & natural resources	anim scienc	animal science	0.59375	0.78125	0.375	0.4375	0.5	0.4375
agriculture & natural resources	anim scienc	Animal Science 	0.125	0.9375	0.75	0.8125	0.34375	0.15625
agriculture & natural resources	food scienc	food science	0.34375	0.4375	0.53125	0.5625	0.3125	0.34375
agriculture & natural resources	anim scienc	Animal Science 	0.59375	0.875	0.8125	0.6875	0.53125	0.53125
agriculture & natural resources	anim scienc	Animal science	0.5	0.71875	0.0625	0.03125	0.25	0.28125
agriculture & natural resources	agricultur	Agriculture	0.46875	0.625	0.71875	0.40625	0.03125	0.09375
agriculture & natural resources	agricultur educ	Agricultural Education	0.625	0.65625	0.78125	0.375	0.5	0.375
agriculture & natural resources	food scienc	Food Science	0.21875	0.59375	0.40625	0.8125	0.15625	0.09375
agriculture & natural resources	anim scienc	Animal Science 	0.40625	0.96875	0.78125	0.65625	0.4375	0.25
agriculture & natural resources	agronomi	agronomy	0.21875	0.71875	0.375	0.6875	0.5	0.28125
agriculture & natural resources	agricultur	Agriculture	0.25	0.25	0.46875	0.46875	0.59375	0.34375
agriculture & natural resources	agricultur scienc	Agricultural Science	0.3125	0.71875	0.28125	0.15625	0.125	0.28125
agriculture & natural resources	agricultur	Agriculture	0.46875	0.875	0.78125	0.84375	0.78125	0.21875
agriculture & natural resources	agricultur scienc	Agricultural Science	0.6875	0.65625	0.0625	0.15625	0.09375	0.625
agriculture & natural resources	anim scienc	Animal Science	0.4375	0.78125	0.84375	0.8125	0.53125	0.4375
agriculture & natural resources	anim scienc	Animal Science	0.03125	0.46875	0.28125	0.28125	0.0	0.0
agriculture & natural resources	forestri	Forestry	0.0	0.125	0.125	0.0	0.0	0.0
agriculture & natural resources	agricultur	agriculture	0.09375	0.71875	0.625	0.84375	0.46875	0.0625
agriculture & natural resources	anim scienc	Animal Science	0.28125	0.90625	0.59375	0.3125	0.1875	0.21875
agriculture & natural resources	nutrit food scienc	Nutrition and Food Science	0.25	0.59375	0.1875	0.875	0.46875	0.4375
agriculture & natural resources	anim scienc	Animal Science	0.03125	0.71875	0.21875	0.1875	0.0	0.1875
agriculture & natural resources	anim scienc	Animal Science	0.03125	0.8125	0.375	0.59375	0.09375	0.03125
agriculture & natural resources	food scienc	food science	0.28125	0.46875	0.5	0.4375	0.21875	0.15625
agriculture & natural resources	food scienc	Food Science	0.53125	0.96875	0.53125	0.53125	0.6875	0.09375
agriculture & natural resources	anim scienc	Animal Science	0.21875	0.90625	0.4375	0.1875	0.25	0.375
