college_major_category	college_major_preprocessed	college_major	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
arts	design	Design	1	3	0	2	1	1	2	1	2	1	3	0	1	1	1	1	1	0	3	1	0	3	1	1	3	4	4	3	3	3	2	0	0	3	2	3	1	4	3	2	2	2	0	2	0	3	0	1
arts	design	DESIGNER 	0	3	0	1	1	1	3	4	3	2	4	2	2	3	2	0	0	0	3	0	0	0	0	3	0	2	0	4	1	2	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0
arts	graphic design	Graphic Design	2	0	0	3	0	0	0	0	1	3	3	0	1	3	0	3	0	1	4	0	0	1	0	4	1	3	2	0	2	2	2	2	1	3	1	4	1	3	1	2	0	3	1	1	0	1	1	1
arts	art	ARTS	2	2	4	3	3	3	3	2	4	4	4	4	4	4	4	4	2	1	1	2	3	3	3	2	3	3	2	4	3	2	1	2	3	2	3	2	4	3	1	2	2	2	1	1	0	2	2	2
arts	design	DESIGN	4	0	0	4	0	2	3	0	2	1	0	2	0	0	0	0	0	2	4	1	3	1	4	2	4	0	2	1	3	0	0	0	4	0	2	4	4	4	4	1	3	3	4	2	4	2	2	1
arts	design	Design	2	2	0	2	0	3	2	2	1	3	3	1	2	2	2	4	3	4	4	4	4	2	0	4	3	4	3	2	2	3	4	3	1	1	2	2	3	2	1	3	0	1	0	1	2	0	0	1
arts	art	Associate in Arts	0	0	0	0	0	0	0	0	2	3	2	1	1	2	0	0	0	0	1	0	0	1	0	0	1	2	3	2	3	3	3	1	0	2	0	1	0	0	2	0	1	1	1	2	0	2	2	0
arts	fine art	BFA	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	3	2	1	4	3	3	3	0	4	3	3	3	1	2	3	4	2	2	1	1	0	3	1	0	2	1	1	0	2	0	0	0	0
arts	art	Associates in Arts	3	0	0	2	0	0	3	0	0	3	3	0	0	3	1	0	0	0	3	0	1	0	0	0	0	2	3	1	4	3	2	3	1	3	3	1	3	3	1	2	4	4	4	4	3	1	4	2
arts	graphic design	Graphic Design	2	0	0	1	0	1	2	0	4	3	3	1	2	0	2	2	2	2	4	3	3	4	3	4	0	3	2	2	3	3	2	1	0	3	1	1	2	2	0	2	0	2	0	0	1	2	0	2
arts	product design	Product design	1	1	2	2	3	3	2	2	3	3	3	2	3	3	3	3	0	1	3	1	2	2	3	4	2	2	2	1	2	1	2	1	0	0	1	1	1	0	1	2	1	3	1	1	2	2	1	1
arts	fashion	Fashion	2	2	0	2	2	2	2	2	3	2	2	0	2	0	2	2	0	0	3	0	1	0	0	3	3	0	3	0	3	2	2	3	1	1	3	3	3	1	1	2	1	2	0	1	0	0	1	2
arts	theater	Theater	1	0	0	0	0	0	0	0	2	2	1	0	1	0	0	0	2	4	3	4	3	3	0	4	3	2	3	1	3	3	3	1	0	2	1	3	1	2	1	2	0	1	0	0	0	1	0	0
arts	act	Acting	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	3	3	2	4	3	2	3	0	2	2	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0
arts	write	Creative Writing	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	1	4	3	4	4	2	2	3	4	4	4	1	4	3	4	4	2	2	3	0	2	1	0	2	0	0	0	0	0	0	0	0
arts	art	Arts	0	0	0	0	0	1	1	2	2	4	4	0	2	4	2	4	1	2	2	1	1	2	1	4	1	2	1	1	1	2	2	2	0	2	1	1	0	1	2	3	0	0	0	1	0	0	1	1
arts	design	Design	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	2	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1
arts	theater	theater	2	2	0	3	1	1	0	1	3	3	3	3	3	3	3	3	2	3	3	3	4	2	2	3	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	2	2	0	1
arts	fine art	fine arts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	4	2	4	4	4	4	4	0	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arts	art	art	0	0	0	4	0	0	0	2	0	0	4	2	0	4	2	2	4	4	4	4	3	2	4	4	0	0	4	0	4	2	4	2	0	0	4	4	0	4	2	2	0	0	0	0	0	0	0	4
arts	fine art	Fine Art	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
arts	graphic design	graphic designer	2	2	2	2	1	3	1	3	3	3	3	4	3	3	3	4	2	2	3	2	1	3	3	2	2	3	2	2	2	2	3	1	0	0	2	2	2	2	3	2	0	1	1	2	3	2	1	2
arts	design	Design	2	1	0	1	1	2	2	1	4	2	2	1	1	0	0	0	1	1	3	1	2	2	0	3	1	0	2	0	2	2	1	1	0	0	2	2	2	2	0	2	2	1	1	1	1	1	0	2
arts	danc	Dance	2	2	0	1	1	2	0	0	4	2	2	2	4	2	3	1	2	4	2	1	0	3	1	3	2	3	1	3	3	3	2	1	0	0	3	1	2	0	2	0	2	3	2	3	1	3	2	2
arts	design	Design	1	0	0	0	0	0	0	0	1	3	2	1	0	1	0	0	2	2	2	3	2	2	3	1	3	3	3	3	3	0	2	2	3	1	3	2	3	2	2	2	2	2	2	2	2	1	2	3
arts	design	Design	1	1	1	1	0	0	0	1	2	3	3	0	2	2	1	2	3	4	3	3	3	3	3	3	3	1	0	2	2	1	1	1	2	0	1	1	1	1	1	3	2	2	1	1	0	0	1	1
arts	art	Arts	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	3	2	3	4	2	2	3	2	3	1	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arts	art	Art	0	2	2	2	3	3	3	3	2	2	3	1	1	3	2	2	0	1	1	1	0	3	0	0	1	3	3	2	2	1	2	0	0	1	1	1	0	3	0	2	2	3	2	1	1	2	1	1
arts	music	music	0	0	0	0	0	0	0	0	2	2	2	1	2	2	2	0	2	1	2	1	1	4	2	1	3	2	2	2	3	3	2	3	0	1	1	1	2	1	1	2	0	0	0	1	0	0	0	0
arts	film	Film	3	0	0	3	0	0	3	2	2	1	2	0	2	0	0	0	0	2	2	0	2	0	3	2	0	2	1	0	0	0	0	0	1	1	1	0	3	2	2	0	2	1	3	2	3	2	3	2
arts	drama	drama	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	3	3	3	3	2	4	3	3	3	3	4	2	2	3	0	2	2	1	3	1	2	1	2	0	0	0	1	0	0	0	0
arts	art	art	2	1	0	1	0	1	0	1	3	1	1	2	0	1	1	1	2	1	3	0	2	3	3	3	3	2	4	3	3	1	2	2	0	0	0	1	1	0	1	1	1	1	3	3	3	2	0	1
arts	design	design	0	0	0	1	0	0	0	0	3	4	2	3	1	3	1	1	3	4	4	4	4	3	2	3	2	2	4	0	3	1	3	3	0	1	1	1	1	3	1	1	0	1	0	0	0	0	0	0
arts	fashion design	fashion design	3	3	2	3	0	0	3	0	1	3	3	0	1	0	0	0	0	3	4	0	4	1	0	2	1	3	4	1	4	0	1	1	3	3	4	2	4	3	0	3	3	4	3	4	3	4	4	4
arts	art	AA	0	0	0	0	0	0	0	0	1	1	1	0	0	3	1	1	4	4	4	4	4	4	3	4	4	4	1	1	3	4	4	3	1	3	3	0	3	1	1	4	1	0	0	0	0	0	0	0
arts	write	writing	0	0	0	1	0	2	2	0	3	3	4	2	4	4	3	4	3	4	4	4	4	3	4	4	2	3	3	2	3	4	2	1	1	2	3	2	3	2	3	3	0	3	3	3	3	1	2	3
arts	art	Art	1	1	0	0	0	1	0	0	3	2	0	0	0	0	0	0	4	4	4	3	4	3	4	4	2	3	2	3	4	4	2	2	0	4	1	4	1	4	3	4	0	1	0	0	0	0	0	0
arts	design	design	0	0	0	0	0	0	0	0	0	4	1	0	0	2	0	0	0	0	4	0	0	0	0	4	0	3	2	0	0	2	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
arts	design	Design	2	2	0	1	0	0	2	1	0	1	1	1	1	1	0	4	2	4	4	4	2	4	3	4	4	3	1	2	0	1	2	1	2	2	2	1	3	3	3	3	0	0	0	0	0	0	1	2
arts	art	Art	0	1	1	1	0	1	1	1	4	2	2	3	3	2	3	3	2	4	4	3	4	3	3	4	3	3	3	4	3	1	2	1	0	2	1	1	1	2	3	2	2	0	1	2	2	2	2	1
arts	photographi	Photography 	0	2	3	1	1	2	0	2	2	3	4	3	3	3	2	3	2	3	4	2	2	1	1	3	3	3	2	1	1	4	2	1	2	0	2	2	3	1	2	3	0	1	0	0	2	2	0	0
arts	graphic design	Graphic Design	3	0	0	2	2	1	1	1	4	2	3	3	3	3	3	2	0	1	4	2	1	2	4	2	4	4	4	3	4	3	3	2	3	3	3	2	4	3	4	1	1	2	2	2	3	3	3	2
arts	commerci art	Commercial arts	4	2	1	3	2	4	2	2	4	4	4	4	4	3	4	4	2	3	2	2	3	4	2	2	3	4	4	4	4	4	4	4	1	3	2	2	4	4	2	3	3	3	4	4	4	4	3	4
arts	art	art	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	3	2	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arts	fashion merchandis	Fashion Merchandising	3	2	1	1	1	2	3	2	3	1	2	2	1	2	1	2	2	2	3	2	2	2	2	3	2	3	3	3	2	3	4	3	1	3	3	2	3	3	2	2	4	3	3	3	1	3	2	1
arts	art	art	2	2	0	1	1	2	2	2	2	3	3	2	2	3	2	2	3	3	4	1	3	2	0	4	3	3	3	3	3	3	3	3	0	1	2	2	1	2	0	2	2	2	2	2	2	1	2	2
arts	art	Arts	4	0	2	1	2	1	2	1	0	0	3	1	4	3	3	3	1	2	3	1	1	2	0	2	4	2	1	4	4	4	4	4	2	1	4	2	4	4	1	3	3	3	4	4	4	4	4	4
arts	anim	animator	2	0	1	0	0	0	1	0	1	4	3	0	0	3	3	0	2	2	4	3	2	4	1	3	1	2	1	2	1	3	1	0	4	4	2	1	0	3	1	4	1	1	1	0	0	0	0	0
arts	design	design	2	3	3	2	2	3	2	3	2	3	3	2	1	2	2	2	3	3	4	3	2	3	4	3	2	3	1	3	3	2	2	3	3	3	2	2	3	3	4	2	3	2	3	2	2	3	2	2
arts	art	Art and science	2	2	4	2	0	2	0	2	4	4	4	3	4	4	4	4	2	4	4	2	2	3	3	4	4	4	2	4	4	1	3	3	0	2	2	2	2	0	2	1	3	0	3	0	3	3	2	1
arts	film	Film	2	3	0	0	0	0	0	3	1	3	2	0	0	0	0	0	0	0	1	3	4	2	3	0	1	2	0	0	3	0	0	2	2	0	1	1	0	3	4	0	0	0	0	0	0	0	0	0
arts	graphic design	Graphic Design	3	3	0	3	1	4	0	3	3	3	3	0	2	3	2	1	1	0	4	0	3	3	1	0	0	3	0	1	0	0	3	3	0	0	0	0	1	0	1	1	0	1	0	0	3	1	1	0
arts	fine art	fine arts	1	3	3	1	0	3	1	2	2	4	4	3	3	4	3	4	4	4	4	3	4	3	0	4	3	4	2	1	1	3	1	1	2	3	3	1	3	3	1	4	0	2	2	0	1	0	0	0
arts	write	Creative writing	1	1	0	3	0	3	2	1	4	4	3	3	3	3	3	1	1	3	3	4	4	4	3	3	2	3	2	1	2	2	2	2	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0
arts	art	Art	2	3	0	0	0	4	0	3	4	4	4	3	2	4	1	4	3	4	4	4	4	3	3	4	0	2	1	0	0	1	3	4	0	0	3	4	2	2	3	3	1	0	0	0	0	0	0	0
arts	art	Arts	3	0	1	3	1	1	2	1	2	3	3	1	1	1	2	2	1	2	3	3	3	3	1	3	3	2	1	3	1	1	1	1	2	1	2	1	3	1	2	1	3	3	3	3	3	3	3	3
arts	act	acting	0	0	0	0	0	0	0	0	2	3	2	1	0	1	1	2	2	4	4	4	4	4	3	4	3	3	3	2	3	3	3	2	0	1	0	1	0	1	1	2	0	0	0	0	0	0	0	0
arts	danc	dance	0	2	0	0	0	0	0	0	4	2	2	2	2	2	0	0	4	4	3	4	4	4	4	4	4	4	0	3	1	2	3	1	1	1	1	1	2	1	0	2	0	1	0	0	0	2	1	0
arts	design	Design 	2	2	0	1	1	1	4	2	2	2	3	0	0	1	0	1	2	0	4	2	1	2	0	4	4	2	2	1	3	2	2	1	2	3	2	2	1	4	2	4	0	3	2	2	1	1	1	2
arts	graphic design	graphic design	3	0	0	2	0	0	0	0	4	4	4	2	3	3	3	2	4	4	3	4	4	4	2	3	2	3	1	3	2	4	2	1	1	2	1	1	2	3	1	4	0	2	1	3	1	0	0	1
arts	photographi	Photography	0	0	1	1	1	1	0	1	3	3	3	1	3	3	1	3	2	2	4	1	3	3	0	3	3	3	0	2	2	3	3	2	0	2	0	1	1	2	0	3	0	1	1	1	1	0	0	1
arts	art	art	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	3	4	4	4	3	3	4	1	0	0	3	4	3	4	1	0	2	0	4	0	3	2	2	0	0	0	0	0	1	0	0
arts	fine art	Fine arts	1	3	2	2	2	3	0	3	2	4	4	1	3	4	2	3	2	3	3	4	3	4	4	4	3	4	1	4	2	3	2	3	0	2	2	3	2	3	4	3	2	3	2	2	0	2	2	0
arts	design	Design	3	3	0	2	0	2	0	1	3	3	3	3	3	3	3	3	0	3	4	3	3	3	0	4	3	3	1	1	2	2	2	0	0	3	1	1	3	2	2	2	0	1	1	0	0	2	0	0
arts	fashion	Fashion	0	2	1	1	0	1	0	0	2	2	1	2	2	1	0	0	1	2	4	4	4	2	4	2	4	4	4	4	4	3	3	2	2	3	2	4	4	4	2	2	1	1	1	2	0	1	0	0
arts	theater	theater	2	2	0	1	1	3	2	2	4	2	2	1	2	2	1	2	2	2	3	1	1	3	2	2	4	3	3	2	3	2	3	1	1	3	3	1	3	2	3	2	3	3	3	3	2	3	3	2
arts	studio art	Studio Art	0	2	0	2	0	3	0	1	3	4	4	2	1	3	1	3	2	2	2	3	4	2	1	2	3	4	4	2	4	2	4	2	0	1	0	1	0	0	2	1	0	0	0	0	0	2	1	1
arts	write	Writing	0	2	0	1	0	1	0	0	1	3	3	1	1	3	1	3	3	4	4	4	4	4	1	4	3	3	1	2	3	3	3	3	0	0	0	3	1	1	0	1	0	1	0	0	0	3	0	0
arts	design	Design	0	3	0	3	0	3	2	2	4	4	3	4	2	3	1	4	2	3	4	3	3	2	3	4	3	4	3	1	1	1	3	2	0	2	2	0	2	1	0	4	0	2	0	1	1	1	0	0
arts	design	Design 	4	3	1	3	1	4	3	3	2	4	3	4	3	3	4	4	3	2	3	4	3	2	0	4	2	2	3	4	2	3	4	4	1	4	4	1	4	4	0	4	1	4	4	4	0	2	2	4
arts	graphic design	Graphic design 	2	0	1	0	0	0	0	0	3	1	2	4	1	2	1	2	0	4	4	1	4	2	1	4	3	2	1	0	4	0	0	2	0	2	0	0	4	0	2	4	0	0	0	0	1	0	0	1
arts	theater	Theater	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	3	0	2	2	0	4	0	4	3	2	3	3	3	3	0	3	4	0	4	4	3	4	2	4	2	4	3	2	0	3
arts	art	Art	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	3	0	1	0	3	4	2	2	1	0	1	1	1	1	0	0	0	0	1	0	0	0	2	3	2	2	1	2	0	2
arts	art	art	2	2	0	0	0	2	0	2	4	3	0	0	1	3	2	1	1	3	3	1	1	3	3	3	3	3	1	2	3	2	3	0	0	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0
arts	fashion	fashion	0	0	0	0	0	0	0	0	2	3	3	1	1	4	1	1	1	2	3	1	2	1	2	1	1	2	0	0	2	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0
arts	design	design	0	1	0	0	0	0	0	1	0	1	0	1	2	0	0	0	1	1	2	1	2	1	1	1	3	4	3	2	3	2	3	2	0	1	1	1	1	2	1	2	0	1	0	1	1	1	1	1
arts	perform art	Performing Arts	2	1	2	2	1	1	1	1	2	4	2	2	1	2	1	1	1	2	2	2	1	3	3	3	1	4	2	2	3	3	3	2	1	3	2	1	2	3	2	2	4	2	4	2	1	1	3	2
arts	fine art	Fine Arts	0	0	1	3	0	2	0	1	1	2	2	2	1	0	1	0	4	4	2	4	4	4	1	4	3	2	2	3	3	3	4	2	0	0	2	2	2	1	1	1	1	2	2	1	2	3	2	0
arts	art	arts	1	1	0	1	0	0	0	1	1	2	2	0	0	0	1	0	0	0	1	0	1	3	0	0	4	4	4	2	3	2	2	3	0	3	0	1	2	1	3	1	2	2	3	3	3	3	2	2
arts	write	Writing	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	4	3	4	1	0	4	0	0	4	0	4	0	1	1	0	2	0	2	0	2	0	1	1	0	0	1	0	0	0	0
arts	art	Arts	0	0	0	0	0	0	0	0	0	2	2	1	0	3	2	0	1	2	2	4	2	3	2	0	0	2	0	1	1	2	3	2	0	1	0	1	0	1	0	2	0	0	0	1	0	0	0	0
arts	design	Design	2	0	0	3	0	1	0	0	2	2	2	2	0	2	2	0	0	0	4	0	0	2	0	1	0	4	3	2	2	0	1	0	0	2	3	0	4	2	2	4	2	3	4	2	4	4	2	4
arts	art	Arts	0	0	0	0	0	0	0	0	3	0	4	0	3	3	0	0	0	3	0	0	0	0	0	2	0	4	4	4	4	3	4	4	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0
arts	art	Art 	2	0	1	2	0	2	1	3	1	3	4	1	2	0	2	0	1	3	4	1	3	2	1	4	3	3	3	2	4	3	3	3	1	1	1	1	1	2	2	2	0	1	1	2	1	2	1	1
arts	film	film	0	0	0	0	0	2	0	0	0	4	0	0	2	1	0	0	0	2	1	2	3	2	1	2	3	4	4	2	4	2	4	1	3	3	1	0	0	4	0	3	2	1	0	0	0	0	0	0
arts	design	Design	1	0	0	0	0	0	0	0	1	3	4	0	0	3	0	2	0	4	4	1	2	2	1	4	3	2	2	0	2	3	2	2	0	3	2	1	2	4	2	1	2	3	1	2	1	0	1	2
arts	art design	Art + Design	2	2	2	0	0	1	0	0	4	3	1	2	2	4	1	2	0	2	4	3	1	2	4	4	2	2	3	4	2	1	2	1	2	1	3	2	3	1	0	2	0	0	1	0	2	3	0	0
arts	perform art	performing arts	2	0	0	0	0	0	0	0	3	2	1	1	1	2	1	1	4	4	2	4	4	4	4	3	2	2	2	2	2	1	2	2	1	0	2	1	2	2	1	0	0	0	0	0	0	0	0	1
arts	fine art	Fine Arts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	2	4	3	0	4	1	0	0	0	1	3	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
arts	design	Design	1	3	0	4	0	2	0	2	3	2	2	2	1	2	1	2	2	4	1	3	2	3	1	2	3	4	1	3	1	2	2	2	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	1
arts	write	Writing	1	2	2	1	0	0	0	1	2	1	2	2	2	3	2	2	2	3	1	4	4	4	3	3	2	2	1	1	1	2	1	0	1	0	1	0	2	0	2	0	0	0	0	0	1	1	1	0
arts	art	arts	0	0	0	0	0	0	0	0	2	2	1	0	1	1	2	0	1	2	2	3	3	1	4	0	0	1	0	0	0	1	0	0	2	0	0	1	1	2	0	0	0	0	0	2	0	0	0	1
arts	art	art	0	1	0	0	0	0	0	0	3	2	2	1	1	2	1	1	0	4	4	3	4	4	0	4	3	4	3	1	4	3	3	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
arts	art	art	2	3	3	3	4	3	3	3	4	1	4	2	4	2	4	3	0	1	4	3	4	3	0	2	3	1	3	4	3	0	0	0	0	0	1	0	4	0	0	0	0	2	2	1	3	4	0	3
arts	music	Music	0	2	0	1	0	0	0	2	4	4	4	3	4	4	3	3	4	3	4	2	4	4	1	2	4	2	3	2	3	1	2	1	2	0	1	1	2	1	3	0	0	0	0	0	1	1	0	0
arts	art	art	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	3	3	4	3	1	0	0	4	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0
arts	film	Film	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	2	4	4	1	3	0	4	3	0	3	2	3	4	0	3	0	4	0	1	0	0	0	0	0	0	0	0	0	0
arts	visual art	visual arts	2	1	0	2	2	2	1	2	0	3	2	0	2	1	2	0	0	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0	1	1	2	0	2	0	0	0	1	2	1	2	1	0	0	1
arts	design	design	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	1	0	1	2	2	2	2	1	2	2	1	1	1	0	0	1	1	0	2	1	1	2	2	3	3	1	2	2	2	1	2	2	2
arts	perform art	Performing Arts	0	1	1	2	1	0	0	0	2	2	0	3	2	1	3	2	0	4	3	3	4	3	4	3	1	2	2	1	1	2	2	1	2	2	1	1	2	1	1	1	1	1	0	1	1	0	1	1
arts	graphic design	Graphic design	1	1	0	4	0	3	1	1	3	1	3	2	3	0	3	2	2	2	2	3	3	2	1	2	2	1	1	0	3	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
