Realistic	Investigative	Artisitc	Social	Enterprising	Conventional	College Major
0.15625	0.375	0.78125	0.75	0.46875	0.8125	General Studies
0.1875	0.75	0.6875	0.3125	0.0625	0.3125	library&info science
0.4375	0.65625	0.40625	0.5625	0.53125	0.65625	Healthcare admin
0.40625	1.0	0.59375	0.875	0.15625	0.09375	Environmental Science
0.375	0.6875	0.8125	0.65625	0.53125	0.375	psychology
0.15625	0.84375	0.0625	0.71875	0.125	0.125	Biology
0.03125	0.34375	0.875	0.78125	0.375	0.78125	General Studies
0.125	0.375	0.4375	0.78125	0.375	0.25	psychology
0.09375	0.6875	0.5	0.90625	0.34375	0.15625	psychology
0.0	0.03125	0.09375	0.84375	0.125	0.5	Business & Criminal Justice
0.15625	0.71875	0.6875	0.65625	0.25	0.0625	History
0.0	0.28125	0.46875	0.65625	0.53125	0.09375	anthropology
0.0	0.09375	0.1875	0.5625	0.25	0.375	psychology
0.15625	0.96875	0.21875	1.0	0.21875	0.71875	Biology
0.21875	0.375	0.65625	0.40625	0.5625	0.25	business
0.125	0.625	0.6875	0.78125	0.0625	0.1875	education
0.25	0.3125	0.40625	0.4375	0.5625	0.46875	finance
0.0	0.65625	0.21875	0.6875	0.03125	0.0625	Psychology and counseling
0.25	0.65625	0.8125	0.59375	0.4375	0.25	COMMUNICATION
0.0625	0.53125	0.5	0.25	0.09375	0.34375	philosophy
0.46875	0.84375	0.53125	0.125	0.125	0.03125	COMPUTERS
0.0	0.34375	0.15625	0.71875	0.25	0.09375	psychology
0.25	0.625	0.71875	0.78125	0.40625	0.25	law
0.03125	0.4375	0.59375	0.65625	0.46875	0.4375	English
0.53125	0.40625	0.625	0.9375	0.9375	1.0	psychology
0.21875	0.5	0.8125	0.71875	0.53125	0.28125	Communication
0.0625	0.71875	0.53125	0.71875	0.1875	0.59375	Psychology
0.25	0.5625	0.5	0.59375	0.625	0.46875	Education
0.5625	0.59375	0.75	0.21875	0.40625	0.5	fine arts 
0.15625	0.625	0.625	0.75	0.125	0.21875	psycholgy and film
0.53125	0.78125	0.8125	0.65625	0.3125	0.28125	english
0.0	0.28125	0.21875	0.59375	0.125	0.0	psychology
0.0625	0.40625	0.59375	0.34375	0.375	0.1875	liberal arts
0.21875	0.46875	0.59375	0.6875	0.8125	0.78125	Computer and Political Science
0.5625	0.6875	0.6875	0.59375	0.375	0.375	Print packaging and graphics
0.125	0.28125	0.75	0.96875	0.4375	0.46875	political science
1.0	0.9375	1.0	0.9375	1.0	1.0	psychology
0.65625	0.25	0.28125	0.21875	0.5	0.28125	Computer engineering
0.21875	0.75	0.625	0.25	0.0	0.0625	Public Health
0.53125	0.78125	0.5625	0.4375	0.625	0.78125	mathematics
0.375	0.875	0.25	0.6875	0.53125	0.3125	Business /Finance
0.0	0.21875	0.03125	0.75	0.3125	0.03125	Social work
0.125	0.75	0.5	0.71875	0.15625	0.125	English and Anthropology
0.3125	0.6875	0.75	0.5	0.28125	0.4375	humanities and education
0.25	0.3125	0.25	0.75	0.1875	0.28125	Health promotion
0.25	0.875	0.53125	0.90625	0.71875	0.25	tourism
0.375	0.46875	0.53125	0.90625	0.5625	0.40625	Psychology
0.0625	0.40625	0.1875	0.65625	0.0625	0.1875	Psychology
0.25	0.5625	0.25	0.3125	0.21875	0.03125	General studies
0.53125	0.75	0.53125	0.75	0.34375	0.8125	Psychology
0.09375	0.34375	0.40625	0.1875	0.15625	0.125	Design
0.8125	0.8125	0.9375	0.5625	0.125	0.3125	civil engineering
0.0	0.9375	0.59375	0.6875	0.40625	0.125	criminal justice
0.09375	0.6875	0.75	0.6875	0.53125	0.4375	Psychology
0.28125	0.6875	0.875	0.875	0.34375	0.0	Biology
0.25	0.65625	0.3125	0.53125	0.1875	0.28125	Journalism
0.28125	0.8125	0.9375	1.0	0.5625	0.4375	Economics
0.28125	0.4375	0.53125	0.625	0.53125	0.46875	psychology
0.3125	0.46875	0.53125	0.8125	0.4375	0.625	Biomedical Engineering
0.03125	0.46875	0.0	0.84375	0.25	0.1875	Sociological 
0.125	0.5	0.03125	0.625	0.53125	0.8125	Human and Organizational Development
0.125	1.0	0.65625	0.3125	0.34375	0.375	Biology
0.0	0.34375	0.53125	0.65625	0.25	0.0	Education
0.03125	0.09375	0.75	0.46875	0.5	0.46875	psychology
0.21875	0.4375	0.75	0.5625	0.75	0.375	accounting
0.46875	0.78125	0.5625	0.59375	0.21875	0.1875	emergency medical services
0.375	0.90625	0.6875	0.40625	0.5	0.34375	molecular biology 
0.0625	0.125	0.40625	0.40625	0.28125	0.1875	sociology
0.40625	0.8125	0.875	0.625	0.46875	0.4375	Architecture
0.53125	0.875	0.96875	0.8125	0.9375	0.25	Physiology
0.65625	0.96875	0.625	0.75	0.25	0.46875	Biology
0.125	0.84375	0.71875	0.4375	0.15625	0.15625	sound design
0.125	0.59375	0.71875	0.65625	0.53125	0.21875	psychology
0.125	0.1875	0.4375	0.125	0.3125	0.375	international business
0.03125	0.09375	0.78125	0.6875	0.75	0.5	music
0.46875	0.3125	0.40625	0.71875	0.59375	0.75	Human Resources
0.0	0.65625	0.65625	0.5625	0.125	0.28125	English
0.1875	0.46875	0.90625	0.375	0.5625	0.4375	engineering
0.09375	0.3125	0.34375	0.65625	0.4375	0.5625	Philosophy
0.59375	0.25	0.53125	0.5625	0.53125	0.125	Liberal Arts/ Political Science
0.28125	0.5625	0.5	0.53125	0.46875	0.3125	psych
0.59375	0.1875	0.40625	0.4375	0.375	0.375	Computer Science and Electronics Engineering
0.03125	0.34375	0.5	0.65625	0.5	0.125	Psycology
0.375	0.375	0.34375	0.5625	0.5	0.875	Commerce
0.09375	0.78125	0.71875	0.65625	0.375	0.1875	Education
0.59375	0.75	0.84375	0.0625	0.125	0.3125	English
0.46875	0.90625	0.9375	0.53125	0.28125	0.28125	Chemical Engineering
0.28125	0.625	0.6875	0.1875	0.25	0.3125	Engineering
0.09375	0.15625	0.21875	0.625	0.65625	0.4375	psychology
0.0	0.375	0.34375	0.78125	0.34375	0.125	Psychology 
0.0625	0.625	0.53125	0.46875	0.1875	0.25	English
0.0	0.21875	0.40625	0.78125	0.15625	0.40625	Counseling
0.25	0.25	0.125	0.5625	0.0	0.0	Nursing
0.15625	0.25	0.1875	0.71875	0.125	0.0	Psychology
0.3125	0.0625	0.8125	0.5625	0.59375	0.375	psychology
0.59375	0.625	1.0	0.96875	0.8125	0.96875	Nursing
0.375	0.34375	0.09375	0.84375	0.6875	0.6875	Elder-Care Administration
0.34375	0.84375	0.8125	0.40625	0.15625	0.125	computer science
0.09375	0.03125	0.75	0.5	0.5625	0.375	Busniss
0.09375	0.71875	0.3125	0.8125	0.65625	0.125	nursing
0.25	0.25	0.5	0.875	0.625	0.6875	computer
0.40625	0.90625	0.75	0.9375	0.6875	0.65625	Microbiology
0.5625	0.59375	0.625	0.875	0.46875	0.53125	Environment
0.1875	0.875	0.625	0.90625	0.40625	0.65625	Humanities
0.1875	0.4375	0.375	0.59375	0.46875	0.46875	Food Science and Nutrition
0.40625	0.875	1.0	0.875	0.5	0.25	nursing
