college_major	college_major_preprocessed	number_of_exact_college_major_matches	college_major_category	college_major_category_preprocessed
paralegal studies	paraleg	72	law	law
public administration	public administr	71	law	law
public policy	public polici	26	law	law
agricultural science	agricultur	93	life science	life
biochemistry	biochemistri	269	life science	life
biology	biolog	2219	life science	life
biomedical science	biomed	148	life science	life
biopsychology	biopsycholog	12	life science	life
botany	botani	18	life science	life
cognitive science	cognit	28	life science	life
ecology	ecolog	25	life science	life
environmental science	environment	237	life science	life
food science	food	46	life science	life
genetics	genet	24	life science	life
health science	health	392	life science	life
horticulture	horticultur	32	life science	life
marine biology	marin biolog	46	life science	life
microbiology	microbiolog	91	life science	life
molecular biology	molecular biolog	25	life science	life
neuroscience	neurosci	141	life science	life
pharmacology	pharmacolog	22	life science	life
physiology	physiolog	62	life science	life
zoology	zoolog	73	life science	life
astronomy	astronomi	38	physical science	physic
astrophysics	astrophys	20	physical science	physic
atmospheric science	atmospher	2	physical science	physic
chemistry	chemic	599	physical science	physic
earth science	earth	15	physical science	physic
forensic science	forens	84	physical science	physic
geology	geolog	148	physical science	physic
geoscience	geoscienc	4	physical science	physic
industrial technology	industri technolog	14	physical science	physic
meteorology	meteorolog	11	physical science	physic
physics	physic	1102	physical science	physic
radiology	radiolog	55	physical science	physic
behavioral science	behavior	57	social science	social
child development	child develop	78	social science	social
clinical psychology	clinic psycholog	55	social science	social
counseling	counsel	803	social science	social
counseling psychology	counsel psycholog	50	social science	social
criminology	criminolog	190	social science	social
economics	econom	1155	social science	social
educational psychology	educ psycholog	38	social science	social
family science	famili	40	social science	social
geography	geographi	226	social science	social
government	govern	17	social science	social
human development	human develop	86	social science	social
industrial psychology	industri psycholog	26	social science	social
international relations	intern relat	243	social science	social
mental health counseling	mental health counsel	48	social science	social
organizational psychology	organiz psycholog	7	social science	social
political science	polit	878	social science	social
psychology	psycholog	14003	social science	social
rehabilitation services	rehabilit servic	78	social science	social
social psychology	social psycholog	17	social science	social
sociology	sociolog	922	social science	social
athletic training	athlet train	53	sport	sport
exercise and sport science	exercis sport	12	sport	sport
exercise physiology	exercis physiolog	13	sport	sport
exercise science	exercis	149	sport	sport
kinesiology	kinesiolog	281	sport	sport
physical therapy	physic therapi	124	sport	sport
sports management	sport manag	89	sport	sport
sports medicine	sport medicin	28	sport	sport
