major_category	major_preprocessed	major_original	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
	electron communic engin	Electronics and communication engineering 	4	3	4	3	1	1	3	2	0	1	1	1	3	1	1	2	2	4	2	2	3	2	4	3	4	4	4	3	3	3	4	3	4	4	4	2	3	3	4	3	4	4	3	2	3	3	3	3
	electron communic engin	Electronics and communication engineering	4	0	2	4	3	2	4	0	1	2	0	1	0	1	0	3	2	1	3	2	2	2	0	2	3	3	2	3	2	3	3	3	0	1	1	0	3	1	0	0	0	3	3	2	3	4	0	2
	electron communic engin	Electronic and communication engineering 	2	1	0	2	0	2	0	1	2	1	0	1	1	0	1	3	3	4	3	3	3	3	2	3	4	2	4	0	4	3	4	3	3	2	3	0	3	2	0	2	0	1	0	0	0	4	0	1
	electron communic engin	Electronics and Communication Engineering	3	3	3	4	1	2	4	1	4	4	4	4	3	3	3	4	2	4	4	1	3	3	2	3	2	1	2	2	2	2	2	2	1	3	3	0	3	0	1	0	2	3	4	1	3	2	0	0
	electron communic engin	electronic and communication engineering	0	0	0	4	2	0	0	3	2	4	4	0	0	4	0	0	4	4	0	0	0	3	0	3	2	0	0	2	2	3	2	3	0	0	0	0	4	0	0	0	2	3	4	4	3	3	2	3
	electron communic engin	Electronics and communication engineering	4	0	0	0	0	0	0	0	2	2	0	2	0	0	2	0	4	4	4	2	4	4	2	4	4	4	3	2	4	4	4	4	2	2	3	2	4	2	0	2	4	2	2	4	0	0	0	2
	electron communic engin	Electronics Communication Engineering	1	2	1	1	1	2	1	0	0	2	1	0	3	3	3	3	0	2	2	3	4	3	2	3	0	2	3	2	3	2	3	2	0	0	3	0	4	3	1	3	2	1	1	3	2	2	2	3
	electron communic engin	Electronics and Communication Engineering	4	2	1	2	2	2	2	2	2	3	2	2	1	2	1	1	1	3	3	2	3	4	3	3	3	3	3	3	4	2	3	3	2	2	2	1	3	4	2	4	2	2	3	2	2	2	2	2
	electron communic engin	electronics and communication engineering	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
	electron communic engin	Electronics and communication engineering	2	0	1	4	0	1	3	0	1	0	2	2	2	3	3	3	1	1	3	2	3	3	0	2	0	1	2	2	1	2	0	2	1	1	3	2	4	2	0	3	1	2	4	3	3	4	0	2
	electron communic engin	Electronics and Communication Engineering	4	0	0	4	3	3	4	4	3	4	3	0	3	4	0	4	2	0	0	0	2	1	0	1	3	2	0	2	3	2	2	4	0	0	2	0	4	1	0	0	0	4	4	3	4	4	4	4
	electron communic engin	Electronics and communication engineering	3	0	0	3	0	2	0	0	4	4	4	2	3	4	3	4	0	0	0	0	0	0	3	0	2	1	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	2	0	0	3	0	0
	electron communic engin	Electronics and communication engineering 	4	3	1	4	0	2	1	2	4	4	2	2	1	3	1	2	2	4	3	3	4	4	1	4	3	4	1	1	3	3	4	3	4	3	4	0	4	2	1	2	3	4	4	2	3	1	2	1
	electron communic engin	Electronics and communications engineering	3	2	1	2	1	2	3	1	2	2	1	2	2	1	3	2	4	3	2	3	2	4	1	3	2	4	3	4	2	3	2	2	2	2	3	2	3	2	2	2	2	3	2	3	3	2	2	2
	electron communic engin	Electronics and Communication Engineering	0	0	0	2	0	3	0	3	0	0	0	0	0	1	0	4	0	0	3	3	4	3	0	4	0	4	3	2	3	0	3	4	0	0	1	0	1	0	0	0	0	0	3	0	1	2	0	0
	electron communic engliah	Electronics And Communication Engliah	3	0	3	3	3	3	3	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	3	3	0	3	0	0	3	0	0	0	0	3	0	3	3	0	0	0	3	1	2	3	0	0	3
	electron comput	electronic and computer	1	1	1	3	1	1	1	1	1	3	3	1	1	1	1	1	1	3	3	1	1	1	2	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	electron comput	electronics/computers	0	0	0	0	0	0	0	0	1	1	1	2	3	2	2	0	0	1	0	0	0	0	0	0	3	0	3	2	3	2	1	3	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0
	electron comput communic engi	Electronics, Computer and Communications Engi	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	4	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	electron engineerig	electronic engineerig	2	3	2	3	3	3	2	1	2	3	1	4	1	2	1	4	2	0	3	4	4	3	0	0	1	3	4	2	3	3	3	0	1	2	3	0	4	1	2	3	1	3	3	0	2	3	2	3
	electron engineerin	electronic engineerin	4	2	0	4	1	2	1	0	4	4	4	4	4	4	3	4	4	3	3	4	2	4	0	2	4	3	3	4	3	3	4	2	0	0	0	0	1	0	0	2	0	1	0	0	4	2	0	1
	electron inform	Electronics and Information 	0	0	2	2	0	0	1	0	3	0	3	3	3	2	2	2	0	0	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0
	electron instrument engin	Electronics and instrumentation engineering	3	2	1	0	0	2	2	2	3	2	0	0	0	2	0	1	3	3	1	1	4	4	1	2	4	4	2	0	4	4	4	4	4	2	1	2	4	4	3	4	1	0	0	1	2	4	1	3
	electron instrument engin	Electronics and Instrumentation Engineering	1	2	3	3	1	4	2	2	3	1	1	2	1	2	2	3	4	3	1	3	2	4	3	2	3	4	3	3	3	3	4	2	1	1	3	1	2	1	0	2	1	3	2	1	1	3	1	1
	electron instrument engin	Electronics and Instrumentation Engineering	2	2	3	4	4	4	4	3	1	1	1	1	0	1	1	1	3	3	2	3	2	4	1	3	3	3	2	2	3	3	2	2	1	1	3	2	4	3	1	2	2	3	2	3	2	3	1	2
	electron instrument engin	Electronics and Instrumentation Engineering	4	2	4	4	3	2	3	1	4	3	2	1	1	3	2	2	2	1	2	2	1	3	0	1	3	4	3	4	3	3	3	3	2	1	2	1	4	1	0	4	0	3	1	3	0	3	0	3
	electron media	Electronic Media 	1	2	1	2	1	2	1	1	2	3	3	2	2	2	2	3	3	1	3	4	3	4	0	2	0	4	3	2	2	2	3	2	1	1	1	0	2	1	2	2	1	1	1	1	1	1	1	1
	electron media	electronic media	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3	4	2	4	2	4	4	3	3	1	4	3	4	4	2	0	2	2	2	2	3	4	3	0	0	0	0	0	1	1	1
	electron media	electronic media	2	2	1	2	1	1	2	2	0	0	1	0	0	1	0	2	3	3	4	3	3	4	3	4	2	3	3	4	3	4	3	2	3	1	2	4	2	1	3	4	1	1	0	1	2	2	0	1
	electron media product	Electronic media production	0	3	0	3	0	3	0	1	4	4	4	3	3	4	3	4	3	3	4	4	4	4	0	4	0	3	3	3	3	0	1	0	0	0	0	3	2	0	2	0	0	0	0	0	2	2	0	0
	electron media product	Electronic Media Production 	0	3	2	3	1	2	1	1	2	3	3	3	3	2	2	3	1	2	3	1	2	2	4	3	1	2	3	1	2	2	2	1	1	2	1	2	2	3	2	3	0	1	1	1	1	1	1	0
	electron system engin	Electronic Systems Engineering	4	2	4	4	3	3	4	2	3	3	2	3	2	2	3	3	1	1	2	2	1	2	2	1	3	2	2	2	3	2	3	2	2	2	1	1	2	1	2	2	2	2	3	2	2	3	2	2
	electron system engin	Electronic System Engineering	4	2	4	3	3	3	3	1	3	2	2	2	2	2	2	2	1	3	2	2	3	2	2	3	2	2	0	3	3	2	3	4	3	2	2	2	3	3	2	2	3	2	2	2	3	3	1	2
	electron system engin	Electronic System Engineering	3	1	1	2	1	2	2	1	2	4	4	2	2	4	2	3	3	3	4	4	3	4	2	3	0	2	0	2	0	1	0	1	1	2	2	2	1	4	3	4	1	2	1	1	1	2	1	2
	electron system engin	electronic system engineering	3	0	0	4	0	0	0	0	4	4	3	0	4	0	4	0	4	4	0	0	0	4	0	2	2	2	2	4	3	4	2	2	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0
	electron system engin	Electronic system engineering	4	2	4	4	4	2	4	1	0	0	0	2	1	0	1	2	2	2	0	3	2	2	3	1	4	4	4	4	4	3	2	3	2	0	3	2	3	3	1	3	2	2	2	0	2	2	2	3
	electron system technolog	Electronic systems technology	4	3	2	4	2	3	4	3	4	3	3	2	3	3	3	3	3	1	0	1	0	3	3	1	2	3	2	3	2	3	3	3	0	0	1	0	1	1	2	2	0	1	0	0	0	2	2	1
	electron technician	Electronic Technician	4	4	4	4	0	4	4	4	4	4	4	4	0	0	0	0	2	4	4	4	0	4	4	0	4	4	4	4	4	0	4	4	2	4	4	4	4	0	4	0	2	4	4	0	0	4	0	0
	electron technician	ELECTRONICS TECHNICIAN	4	2	3	4	3	3	3	3	2	1	1	0	1	0	1	3	0	2	0	0	1	1	2	1	1	3	4	3	3	3	2	2	1	2	2	0	2	1	0	2	2	3	2	2	3	4	0	2
	electron telecom engin	Electronics & Telecom Engineering	4	4	0	4	0	3	2	0	4	2	4	4	4	0	4	0	2	4	4	4	4	4	4	2	4	4	2	4	4	4	3	4	2	0	2	0	4	0	0	4	4	4	3	4	4	2	4	4
	electronicengin	ElectronicEngineering	1	1	0	4	0	1	0	1	3	3	3	3	1	3	1	1	3	1	1	3	3	3	0	1	2	4	1	1	1	0	2	0	0	0	2	0	3	0	0	0	0	1	1	0	3	3	0	1
	electroniqu	Electronique	4	2	2	0	0	4	4	4	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	4	4	4	0	4	4	0	4	0	4	0	4	4	4	2	4	0	2	0	2	0	4	0	2
	electryc electron engin	Electryc and electronic engineering	4	2	3	4	3	4	2	2	4	3	4	3	4	4	4	3	2	3	1	1	1	1	1	1	3	2	1	2	2	2	1	0	4	4	2	3	2	3	4	1	4	4	2	3	1	3	2	1
	elektrik	elektrikal	3	2	3	0	3	3	2	1	1	0	1	0	0	1	1	0	1	2	2	0	4	1	1	2	3	1	1	1	3	3	2	2	1	1	3	0	4	0	2	1	2	1	1	4	2	1	1	4
	elem educ	elem. ed	0	0	0	0	0	0	0	0	4	4	4	0	2	4	0	0	2	4	2	2	4	4	0	3	4	4	2	2	4	3	4	3	0	4	0	0	0	0	0	2	0	2	4	0	2	2	0	0
	elementari school teacher	Elementary school teacher	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	3	3	2	2	0	4	4	2	4	3	3	3	3	0	2	2	2	0	2	2	0	2	0	0	3	0	0	2	0
	elementari school teacher	Elementary School Teacher	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	4	0	0	2	4	2	0	2	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	elementari teach	Elementary Teaching	1	0	0	2	0	2	0	1	2	4	3	1	2	2	2	2	3	4	4	3	3	3	3	3	3	4	3	2	3	4	4	3	0	0	0	3	0	2	0	3	0	0	0	0	0	2	1	0
	elemetari	Elemetary	0	0	0	2	0	0	0	3	2	2	1	4	0	2	0	0	0	0	0	0	0	0	0	0	4	2	4	3	4	4	4	3	0	2	2	3	2	3	2	0	2	2	2	2	1	0	0	2
	eletron	Eletronic	0	2	4	4	3	3	3	1	2	3	4	3	3	2	3	2	0	1	3	0	0	2	1	2	1	3	0	1	1	2	4	1	1	2	2	1	1	1	1	4	1	2	1	2	1	1	0	2
	elictricit	elictricitly	0	1	0	4	1	2	0	2	2	0	0	2	0	0	1	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	1	0	2	2	1	2	4	2	3	0	3	3	3	2	2	3	3	2
	em	ems	0	0	3	0	0	2	0	0	4	2	3	3	1	1	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	em	EMS	0	1	0	0	1	0	0	0	2	2	0	2	1	2	1	1	0	0	1	1	0	2	2	0	2	3	3	2	2	2	1	0	0	1	0	2	2	2	2	1	1	0	1	1	0	0	1	0
	em	ems	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	em paramed	EMS Paramedic	1	2	0	0	2	3	2	2	4	3	2	3	1	3	2	3	2	3	3	3	2	2	4	4	2	3	2	3	1	2	0	1	1	1	1	3	0	1	0	0	1	1	0	0	0	0	1	0
	emerg medic	Emergency medical 	0	2	2	0	0	1	0	0	4	4	4	4	3	4	3	2	2	1	3	3	3	3	1	1	4	4	4	4	4	4	4	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
	emerg servic	emergency services	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	emerg servic	emergency services 	1	1	2	0	0	0	1	1	3	2	2	3	1	2	2	1	0	0	0	2	4	1	4	1	1	2	3	3	3	2	1	3	0	2	1	2	0	2	1	1	1	1	0	1	0	0	2	0
	emerg servic paramed	Emergency Services (paramedic)	0	3	0	0	0	3	0	3	4	2	3	4	0	3	0	0	4	1	2	4	0	4	2	1	1	3	4	4	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
	emgin	emgineering	4	4	4	4	0	3	4	0	4	4	4	4	4	4	4	2	4	4	4	4	4	4	3	0	4	4	4	4	2	4	4	2	4	4	4	4	2	4	2	1	4	4	4	4	4	4	4	4
	empresa	Empresas	4	3	1	4	3	2	4	3	1	2	2	4	2	2	2	2	3	2	2	2	3	2	0	2	1	4	4	3	4	3	3	3	0	3	4	4	4	4	3	4	4	4	4	4	4	4	3	4
	emt	Emt	4	2	2	4	0	4	4	4	4	4	4	4	4	4	4	4	2	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
	emt	Emt	2	0	0	2	4	4	4	2	4	4	4	4	4	4	4	4	2	2	4	2	0	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	2	4	4
	emt	EMT	1	2	1	1	1	2	2	2	3	1	1	2	2	1	3	1	0	0	1	2	0	0	1	1	1	2	2	1	2	2	1	2	0	1	1	1	0	1	1	1	1	1	2	1	0	0	1	1
	emt	EMT	1	1	0	1	0	2	0	1	2	4	4	1	0	4	3	3	0	2	0	1	0	4	4	3	2	3	0	4	0	0	0	3	1	1	0	1	0	0	2	2	0	0	0	0	0	0	0	0
	emt	EMT	2	1	2	3	1	3	1	1	4	4	4	4	3	4	3	1	0	0	0	0	0	0	3	0	3	3	3	3	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	endocrinolog	endocrinology	1	0	0	0	0	0	0	0	2	4	4	4	1	3	1	0	0	0	0	0	0	0	0	0	1	4	2	2	0	2	4	3	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
	energi	Energy	4	2	0	0	4	0	4	4	4	4	4	0	4	4	4	4	1	2	4	0	4	4	4	4	2	0	0	0	0	0	0	0	2	4	0	4	4	0	4	0	0	0	0	0	4	4	0	4
	energi	Energy	2	0	4	2	0	4	1	3	4	4	3	4	3	4	4	3	2	3	4	0	3	2	2	3	4	4	4	1	3	1	1	2	2	3	4	2	4	3	4	4	0	2	1	1	1	1	0	0
	energi engin	Energy Engineering	3	2	2	0	0	1	1	1	4	3	3	4	4	2	4	4	2	4	4	4	3	4	4	3	3	4	1	0	2	0	1	1	2	0	2	0	3	1	0	0	0	0	0	0	3	2	0	0
	energi engin	energy engineering	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	1	3	1	2	3	2	2	3	3	3	2	3	2	3	3	3	2	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3
	energi engin	energy engineering	3	0	2	3	3	4	0	1	1	2	1	3	4	3	3	1	2	1	1	1	1	3	1	0	3	0	3	0	2	1	3	0	4	0	1	0	4	2	2	4	4	3	2	1	4	3	1	2
	energi engin	energy engineering	0	0	3	2	1	1	1	1	4	1	2	3	2	2	2	2	4	3	3	4	3	4	4	4	3	4	2	3	2	3	3	2	2	1	1	1	2	1	0	2	0	2	1	2	1	1	0	3
	energi intuit train	Energy and intuition training	3	2	1	1	1	2	1	1	4	3	3	4	3	2	3	1	2	2	3	4	4	3	1	2	4	4	3	4	4	2	4	3	1	1	1	1	4	1	1	1	2	1	1	2	2	2	2	2
	energi system engin	energy systems engineering	2	3	2	1	1	2	2	3	4	3	3	2	1	1	1	2	2	1	1	4	3	3	3	2	3	4	3	3	3	4	4	3	1	1	3	0	3	1	0	2	0	0	1	2	2	1	0	1
	eng	englis	3	3	0	2	2	2	3	3	1	4	3	2	4	3	3	2	0	3	4	1	4	3	2	4	2	4	3	3	3	4	4	4	4	3	2	2	4	4	3	4	0	4	3	3	3	2	2	3
	eng	Englis	0	0	0	0	0	0	0	0	2	2	2	2	2	3	2	3	2	3	3	3	4	3	0	3	4	3	3	3	4	3	4	3	0	0	3	0	3	3	2	0	0	0	0	0	0	0	0	0
	eng	ENGLIS	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	3	3	1	1	1	4	1	0	4	0	3	0	3	2	4	4	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3
	eng	Englis	2	0	0	2	0	0	0	0	3	3	3	1	3	4	3	1	3	2	4	2	4	3	4	4	3	1	2	1	2	1	2	1	1	0	2	1	2	1	2	2	0	1	1	1	2	1	0	2
	engeen	engeenering	4	0	4	1	3	3	3	2	0	4	4	1	1	4	2	2	4	2	4	4	2	2	3	1	0	2	2	4	2	3	2	2	4	2	4	0	4	4	3	3	4	4	4	2	4	2	3	3
	engen	Engeneering	2	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	1	0	0	3	3	2	0
	engen	Engeneering	3	0	1	3	1	0	0	0	4	3	2	4	4	2	4	0	1	3	4	3	4	3	0	0	4	3	2	4	4	4	1	1	0	2	3	3	4	4	1	4	2	2	3	2	3	0	2	2
	engen	Engeneering 	0	1	3	2	2	2	2	1	2	4	3	2	2	4	4	3	2	2	4	1	2	2	4	4	1	3	0	1	1	2	1	1	3	0	4	1	3	3	1	3	0	0	0	1	2	2	0	0
	engen	engeneering	1	4	3	3	3	4	2	3	3	4	3	1	3	4	3	3	3	3	4	4	4	4	3	4	1	2	3	2	3	3	2	2	0	0	2	3	2	0	0	2	1	3	1	1	3	1	0	2
	engen	engeneering	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
	engen	engeneering	0	2	2	3	1	3	0	3	3	1	1	2	1	1	1	2	2	2	0	2	2	2	1	1	4	3	2	3	4	2	2	3	2	1	2	2	4	2	1	3	0	0	0	1	1	2	0	1
	engenharia	engenharia	3	0	3	4	2	2	3	0	4	3	2	3	4	3	1	1	3	3	2	3	3	3	0	4	4	4	2	3	4	1	3	2	1	2	3	2	4	1	3	3	2	2	2	2	4	3	1	3
	engenharia eletrica	engenharia eletrica	3	1	2	4	0	2	1	0	3	2	2	0	1	2	1	1	2	2	3	0	0	2	1	0	1	1	1	2	3	2	1	1	1	1	3	0	4	2	1	2	2	2	1	3	4	4	3	3
	engenharia mecatronica	engenharia mecatronica	4	2	4	4	1	2	4	1	2	2	4	4	4	2	3	1	2	2	4	1	2	4	0	2	4	4	4	4	3	3	3	3	4	0	4	3	4	4	2	3	0	2	3	2	4	4	2	2
	engenharia química	engenharia química	3	3	4	2	1	1	2	1	4	2	4	2	4	2	4	1	1	3	4	2	1	3	1	2	2	3	2	3	2	4	3	3	3	2	4	3	4	2	2	2	0	2	3	2	4	3	2	1
	engenir	engeniring	3	2	2	4	2	3	2	2	2	1	2	2	1	2	2	2	1	1	4	2	1	2	4	2	3	3	3	3	3	2	2	2	3	4	3	2	3	3	2	3	3	4	4	3	4	4	3	4
	enger	engereering	2	2	1	1	2	1	1	1	2	2	4	1	2	1	0	1	2	2	3	2	2	2	1	1	2	2	2	2	3	3	1	1	0	3	2	3	1	0	1	4	1	2	2	2	1	1	1	2
	engg	engg	4	0	0	4	2	2	0	0	4	2	4	4	4	4	4	4	0	2	4	4	4	2	4	4	4	4	2	2	2	0	0	0	2	0	4	2	4	2	0	0	0	2	4	4	2	2	0	2
	engg busi	engg,mba	2	1	1	1	1	3	1	1	3	2	2	3	3	2	2	3	2	3	2	3	3	3	2	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	2	3	1	1	1	1	3	1	1	1
	engieer	engieering	3	2	0	1	1	1	2	0	4	3	2	1	1	1	2	0	1	0	0	1	3	3	1	0	2	2	2	3	2	0	2	2	3	1	1	0	3	1	0	2	1	3	1	2	4	3	0	2
	engin @ oregon	engineering @ Oregon	1	3	2	0	2	0	1	2	2	3	4	0	1	0	2	2	1	0	3	0	2	0	1	3	2	0	2	0	0	2	2	2	2	1	2	1	0	4	3	4	2	2	0	0	0	1	1	0
	engin admin	engineer/admins	0	4	3	2	3	3	3	4	2	4	2	0	4	0	3	4	2	3	2	0	2	4	2	4	1	3	2	3	0	3	2	3	3	2	3	1	1	1	2	2	3	3	3	1	2	3	3	3
	engin aerospac	Engineering in Aerospace 	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	3	0	3	0	0	0	4	0	2	0	2	0	0	2	2	3	2	3	2	2	0	4	0	3	2	3	4	4	2
	engin ambient	Eng. Ambiental	2	0	0	2	0	2	2	0	0	2	4	2	4	4	4	4	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2	2	0	2	2	0	0	0	2	0	0	2	2	0	2	2	2	0
	engin art	Engineering, Art	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	2	2	1	4	0	4	1	1	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	engin automot manufactur	engineering,automotive manufacturing	4	3	3	4	4	2	4	2	2	4	2	1	2	2	2	2	0	0	1	0	0	0	3	0	2	2	2	0	2	1	1	1	2	3	3	0	3	1	1	1	4	2	1	0	1	2	0	1
	engin biomed	Engineering (Biomedical)	3	3	2	3	2	3	3	2	3	1	1	0	1	2	1	3	4	1	3	0	1	3	1	3	2	4	2	3	2	3	3	3	1	1	1	1	0	1	0	2	2	2	3	1	1	3	0	2
	engin bit	Engineering bits of	4	3	4	4	4	4	4	3	2	3	3	3	4	2	1	2	2	4	1	1	3	1	1	4	1	4	2	3	2	3	3	3	2	2	1	4	4	3	1	3	0	2	2	3	4	3	2	2
	engin busi	Engineering and business 	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	2	1	4	3	3	4	1	0	2	3	2	0	1	0	1	2	0	1	0	0	0	4	2	0	3	0	0	0	0	3	1	0	0
	engin busi	Engineering and Business	0	2	0	0	0	0	0	0	4	1	1	3	1	1	0	3	2	2	3	1	1	2	0	2	3	2	0	4	0	0	1	0	0	2	3	0	2	3	0	0	0	0	0	0	2	2	0	0
	engin busi	Engineering & MBA	0	0	0	0	0	0	0	0	4	1	2	4	4	2	3	1	2	1	2	2	2	1	1	1	4	3	2	2	3	0	1	1	2	2	1	1	3	3	1	1	1	1	1	1	2	2	1	1
	engin busi	engineering, business	3	3	0	2	0	3	3	2	1	1	1	1	0	0	0	3	0	3	1	1	4	2	0	1	3	3	0	3	2	0	1	0	1	3	3	0	3	1	0	3	3	2	3	3	3	4	3	3
	engin busi	engineering and business	2	3	3	2	2	3	2	3	2	3	3	3	2	3	2	3	2	3	3	3	3	3	3	3	3	3	2	3	2	2	3	2	3	3	3	2	3	2	2	3	2	2	2	2	3	2	2	2
	engin busi busi	engineering, MBA, Phd in business	2	0	0	1	0	0	1	0	4	4	2	4	3	2	2	2	1	4	2	2	2	2	0	2	4	3	2	2	3	1	2	2	0	0	3	1	3	2	0	2	0	0	1	1	1	2	0	0
	engin car technit	Engineering/Car technition	1	2	1	3	4	0	3	0	0	0	0	1	2	0	2	0	0	0	3	0	0	0	3	0	1	2	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	2	1	2	2	2	0	2
	engin communic	ENGINEERING/COMMUNICATIONS 	3	1	0	3	3	1	3	1	1	1	1	3	3	0	3	2	1	1	0	3	3	4	4	1	2	1	1	1	3	1	2	2	2	3	3	1	3	2	4	2	3	3	3	3	3	4	3	3
	engin culinari	Engineering and Culinary	3	3	0	4	3	3	4	3	2	3	2	0	1	2	3	0	3	4	4	4	3	4	0	4	1	3	0	3	0	0	1	1	1	1	3	2	2	2	0	0	3	2	0	1	3	4	0	0
	engin cybernet	engineering cybernetics	1	0	0	1	0	1	1	1	2	2	3	2	3	1	3	2	1	0	3	3	3	3	0	2	2	2	1	0	3	3	3	0	1	0	0	0	2	1	2	2	1	0	0	0	3	2	1	1
	engin electron	Engineering electronics 	3	0	3	4	3	2	1	0	3	4	4	4	4	4	4	3	0	1	3	3	3	2	3	3	3	0	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
	engin electron	Engineering in Electronics	0	3	0	4	1	3	0	2	3	3	0	4	0	4	0	4	4	4	4	4	4	4	1	4	4	4	4	1	4	4	4	4	3	2	3	2	4	1	1	4	0	1	0	0	1	2	1	1
	engin electron	Engineering (electronics)	4	2	2	2	2	2	3	1	3	4	3	1	3	3	2	4	3	3	3	2	3	1	3	2	4	4	2	2	4	1	2	2	2	3	2	3	3	3	1	2	4	4	1	3	3	3	3	2
	engin eletr	engineering eletric	3	1	1	3	2	3	3	1	1	2	1	3	1	1	1	1	0	0	0	0	0	1	0	1	4	4	3	3	4	3	3	3	2	1	3	0	2	1	2	2	1	1	2	0	3	2	1	1
	engin game	engineering/gaming	2	2	0	4	2	1	3	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	2	3	2	2	1	2	0	0	0	1	0	1	0	0	0	0	2	0	1	2	4	0	1
	engin graphic	Engineering Graphics	0	0	1	0	0	1	0	0	4	3	3	3	3	3	2	3	2	1	2	2	3	1	2	3	4	2	3	3	3	4	3	1	1	1	3	1	2	2	1	2	0	1	1	0	1	0	0	0
	engin inform technolog	Engineering in IT	3	3	3	1	2	3	2	3	3	1	1	1	1	1	3	1	2	4	1	1	2	3	3	4	4	4	2	4	4	3	2	2	2	3	2	4	4	4	2	3	2	1	1	2	0	2	2	2
	engin inform technolog	Engineering, IT	1	0	0	0	0	0	0	0	3	4	4	4	3	3	3	3	0	3	3	2	4	2	3	3	2	3	2	0	3	2	2	0	0	2	2	0	3	3	0	3	0	0	1	0	2	1	0	0
	engin orbit mechan	Engineering, or Orbital Mechanics	2	3	2	4	2	4	2	3	2	2	3	2	3	3	3	1	0	0	4	2	3	2	2	3	1	3	3	1	2	2	2	2	1	1	1	0	1	1	1	1	0	0	1	1	3	3	1	1
	engin strateg	Engineering and Strategic Studies	3	3	0	3	1	3	3	1	4	3	4	4	4	3	4	1	1	1	3	3	3	1	0	1	4	3	3	3	3	4	3	3	3	3	3	3	3	3	0	3	1	3	3	1	4	3	3	1
	engin system	Engineering Systems	4	4	4	4	4	4	4	4	2	3	3	3	3	2	3	1	0	4	3	1	1	0	3	4	3	2	2	2	1	2	3	2	0	0	1	0	4	1	1	3	1	3	3	2	2	3	1	2
