major_category	major_preprocessed	major_original	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8
	act	Acting	1	0	0	2	0	2	0	0	3	4	3	2	3	3	3	1	3	4	0	3	4	3	3	3	1	1	0	1	1	1	2	1	1	1	0	0	0	0	1	2	0	1	0	0	2	0	0	0
	act	Acting	0	0	0	0	0	0	0	0	3	4	4	0	3	4	3	3	3	4	3	4	4	4	2	3	1	4	4	2	4	4	4	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	act	acting	0	0	0	0	0	0	0	0	0	3	3	0	1	0	0	1	3	0	2	2	4	0	3	0	1	0	0	3	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	act	Acting 	0	0	1	1	0	1	0	0	1	3	1	0	0	1	2	0	0	1	2	4	1	3	4	3	2	3	3	3	4	4	4	4	0	1	0	4	0	2	3	4	2	0	0	1	0	0	2	2
	act	Acting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	4	4	4	4	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4
	act	Acting	0	0	0	0	0	0	0	3	0	2	2	2	0	0	0	0	0	4	4	2	4	2	4	4	2	0	1	0	2	0	2	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
	act	acting	1	0	0	2	1	0	1	0	0	0	0	1	0	0	2	0	2	4	4	3	4	2	4	4	4	3	4	1	4	4	2	2	0	2	3	4	4	4	1	1	1	1	2	2	2	2	0	0
	act	acting	4	0	0	0	0	0	0	0	4	4	4	4	4	4	4	2	3	4	2	4	4	4	4	3	3	4	3	2	2	4	4	1	0	2	3	1	2	2	0	2	0	0	1	0	0	0	0	0
	act	acting	3	1	0	1	2	1	2	2	2	2	2	2	1	2	2	1	3	2	2	3	2	3	4	3	2	4	3	2	4	2	4	2	2	3	2	3	2	2	2	2	2	3	2	2	2	3	2	2
	act	Acting	1	0	0	0	0	0	0	0	2	2	2	0	0	1	0	0	1	3	1	1	4	1	4	2	1	0	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
	act	Acting	1	1	1	0	0	3	0	0	4	3	2	0	3	3	1	1	4	4	2	4	4	4	4	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
	act	Acting	0	3	0	3	2	3	0	3	3	3	3	1	3	3	3	3	2	4	2	3	3	4	4	4	3	3	3	4	3	3	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
	act	acting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	act	acting	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	3	2	3	0	1	3	0	1	0	2	3	4	3	0	0	0	0	0	0	0	3	4	0	3	3	0	0	0	0	0
	act	Acting	1	1	0	1	0	1	0	0	3	4	2	3	1	3	1	2	3	4	3	4	4	3	3	3	3	4	4	3	4	3	3	3	0	0	1	2	3	0	0	3	0	0	0	0	1	0	0	0
	act	Acting	0	0	0	1	0	0	0	0	3	2	1	0	0	2	3	1	3	4	4	3	2	4	2	3	0	3	2	3	1	4	3	0	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0
	act	Acting	0	0	0	1	0	0	0	0	1	3	1	0	1	2	1	3	1	3	3	4	4	3	4	3	2	3	3	3	3	3	4	1	1	2	2	3	0	0	2	3	1	2	2	1	2	1	1	2
	act	Acting	2	3	0	2	1	3	1	3	3	3	2	2	1	3	1	2	4	4	4	4	4	4	4	4	2	2	2	4	3	2	2	2	2	3	2	2	2	3	4	3	1	1	1	1	0	0	0	1
	act	Acting	0	2	0	0	0	0	0	0	2	3	2	3	2	3	2	2	2	4	3	4	4	4	3	3	1	3	4	2	4	4	4	2	1	1	2	2	1	2	3	2	0	0	0	1	1	0	0	0
	act	Acting	1	3	1	3	0	2	2	0	3	3	3	3	3	3	2	3	4	4	4	4	4	4	4	4	2	3	3	3	3	2	4	2	1	1	2	2	1	1	2	1	0	0	1	0	0	1	0	0
	act	ACTING	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	3	1	4	3	3	2	3	0	3	2	0	2	0	1	4	0	1	2	0	1	0	0	1	0	0	1	1	1	0	0	1
	act	Acting	0	0	0	0	0	0	0	0	1	2	1	0	1	1	1	3	4	4	4	4	4	3	1	3	2	1	1	1	0	0	1	1	2	2	3	1	3	3	3	3	1	0	1	0	1	2	0	1
	act	Acting 	0	0	0	0	0	0	0	0	2	2	0	3	0	0	0	2	4	4	4	4	4	4	4	3	2	3	3	2	4	4	3	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
	act art	Acting / Arts 	1	1	1	1	0	1	0	1	2	1	2	2	1	1	1	0	3	4	1	3	4	3	3	3	1	3	2	3	3	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	0
	act creativ write	Acting, Creative Writing	1	3	2	2	2	3	1	2	2	3	2	1	2	2	2	3	3	4	4	4	4	4	4	4	4	2	3	3	3	3	3	2	1	1	3	3	1	2	1	2	0	2	1	1	3	2	1	1
	act entertain	Acting and Entertainment	2	1	2	1	1	2	1	1	1	3	2	1	2	3	2	1	3	3	3	3	3	3	3	3	3	2	2	3	1	2	2	2	3	1	3	2	3	3	3	3	2	1	1	1	1	1	1	2
	actor	actor	2	1	1	3	1	1	0	1	3	3	3	3	3	3	3	3	3	4	1	3	2	3	4	3	1	1	0	3	1	1	0	0	2	2	3	3	2	3	3	3	2	1	2	2	1	1	1	1
	actor	actor	4	4	4	4	4	3	4	4	3	3	3	4	1	2	1	4	4	4	4	4	1	4	4	4	4	3	4	3	4	4	4	4	3	4	3	1	4	4	4	4	4	4	3	3	3	2	4	4
	actor archetict	actor,archetict	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	4	4	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0
	actor train	Actor Training	2	3	0	1	2	3	2	3	3	4	3	3	1	3	2	2	4	4	4	4	4	4	4	4	4	3	4	2	4	3	3	3	0	0	2	2	2	0	1	1	1	1	0	1	0	1	0	1
	actor train	Actor Training	0	3	0	1	2	3	1	3	3	3	2	1	2	3	1	1	3	4	3	4	4	2	4	4	2	3	4	3	4	3	3	3	0	0	1	2	1	0	0	0	1	0	0	1	0	0	0	0
	actori	Actory	1	0	1	3	1	1	1	0	1	2	2	2	1	1	1	0	2	3	3	3	3	3	3	3	2	2	3	3	3	3	1	2	1	2	3	3	3	3	2	2	1	1	2	2	1	3	1	1
	actuari	actuary	3	0	1	4	3	0	2	0	0	4	4	3	3	2	1	0	3	2	4	3	2	2	0	0	4	3	3	0	3	0	1	2	0	2	0	1	4	3	0	1	0	3	4	0	4	4	3	2
	actuari	Actuarial Studies 	4	1	0	1	2	1	2	0	1	1	0	1	0	0	1	1	1	3	1	1	1	0	2	1	3	4	0	1	1	4	4	3	2	4	1	3	3	4	2	2	2	2	1	2	2	2	2	2
	actuari	Actuary 	4	1	0	0	2	0	2	2	2	1	1	2	1	1	3	1	1	2	2	1	3	2	1	1	3	2	3	1	3	3	2	2	2	3	3	3	2	3	2	2	3	4	4	2	3	4	3	3
	actuari	Actuarial	2	2	2	3	1	3	3	2	2	0	0	1	0	1	1	2	0	4	2	0	1	2	1	2	2	2	1	1	1	1	1	1	2	1	1	0	3	1	3	3	2	2	2	2	3	3	2	2
	actuari	actuary	2	1	3	1	0	0	2	1	2	0	0	1	1	0	1	1	1	2	1	1	3	1	1	2	4	4	4	3	4	4	3	4	3	4	4	2	4	4	4	4	3	1	3	4	3	1	3	3
	actuari	Actuarial studies	4	0	3	4	2	2	4	0	4	0	1	4	4	2	4	0	0	2	2	4	2	4	1	2	4	2	4	4	4	4	2	3	1	2	4	3	4	4	3	4	3	3	4	4	4	4	4	4
	actuari	Actuarial	1	2	0	1	1	2	1	1	2	3	3	2	2	2	2	1	3	0	2	2	2	4	1	2	1	3	1	2	2	2	2	2	1	0	1	1	3	1	0	1	0	2	1	2	3	3	1	1
	addict	Addiction Studies	3	3	1	1	1	2	1	2	3	3	3	4	3	2	1	1	1	2	3	3	4	3	3	1	4	3	4	4	4	3	3	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1
	addict	Addiction Studies	0	0	0	0	0	0	0	0	2	3	3	2	3	3	2	0	2	3	0	3	3	3	3	1	3	3	4	2	4	4	4	1	0	1	0	2	0	1	2	1	0	1	0	2	0	0	0	0
	addict	Addictions 	0	1	3	3	2	3	2	1	3	3	3	3	2	3	2	3	1	1	3	3	2	4	1	3	3	4	4	2	4	0	4	4	3	1	3	3	3	3	1	3	1	2	3	2	3	0	1	0
	addict	Addiction Studies	0	0	0	0	0	0	0	0	2	2	0	2	2	0	2	0	0	0	0	2	2	0	0	0	2	3	4	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	addict mental health	Addiction and Mental Health	2	2	1	2	2	1	2	0	2	3	2	1	1	2	2	2	1	0	0	0	0	4	0	0	3	3	4	3	4	2	1	2	0	0	0	0	3	0	0	0	3	2	3	3	0	1	0	2
	adiministração de empresa	Adiministração de empresas	0	0	0	0	0	0	0	0	4	0	2	2	0	0	0	0	4	4	4	4	4	4	0	0	4	4	2	2	2	2	4	0	0	2	4	4	4	0	0	0	2	0	2	4	2	2	2	2
	admini	adminis	4	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	2	1	2	1	1	3	0	1	4	3	3	3	2	2	1	3	0	0	3	2	4	1	1	1	3	1	3	3	2	2	4	3
	adminst justic	adminstation of justice	2	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	4	1	1	2	1	1	1	1	2	2	4	1	4	3	3	3	1	0	4	1	4	4	1	3	2	2	2	3	1	1	1	3
	adminstr secretari	Adminstrative Secretarial	1	2	0	4	0	0	3	0	3	3	3	0	0	3	0	0	0	0	4	3	4	0	0	4	3	3	3	2	4	4	3	4	2	4	4	0	4	4	4	4	1	1	2	4	1	4	0	3
	adminstracao	adminstracao	4	2	3	3	2	2	2	1	0	2	2	2	3	2	2	1	0	1	0	2	0	2	2	1	4	2	2	4	2	4	3	4	2	3	4	2	4	4	3	3	2	3	4	4	2	2	4	4
	admintaion justic	Admintaion of justice	2	2	2	2	2	2	3	1	4	4	4	4	2	4	4	3	2	4	4	4	2	3	4	4	3	3	4	4	3	3	4	3	2	0	3	3	2	4	4	3	2	3	2	2	1	2	3	2
